"geneID","Promedio"
"A1BG",2.12461448237425e-06
"A1BG-AS1",1.97754612415358e-05
"A1CF",2.81709665315534e-06
"A2M",3.34724362894067e-05
"A2M-AS1",9.9947068324547e-06
"A2ML1",3.25178267777558e-06
"A4GALT",2.35965479254951e-05
"A4GNT",1.57094563435991e-06
"AAAS",9.7410666460805e-06
"AACS",5.57422250670873e-06
"AADAC",1.86904148620288e-06
"AADAT",3.26476695230073e-06
"AAGAB",1.59830998331889e-05
"AAK1",0.000292320272395516
"AAMDC",3.61884433000142e-05
"AAMP",1.41485785362719e-05
"AANAT",5.41568029833597e-06
"AAR2",2.53143595616542e-06
"AARS1",3.12566085248114e-05
"AARS2",4.09404616104812e-05
"AARSD1",1.7605063628844e-05
"AASDH",9.45407873663395e-06
"AASDHPPT",0.000138601249799105
"AASS",4.14625357574751e-05
"AATBC",2.11879619311414e-05
"AATF",1.03932794366889e-05
"AATK",1.74235996648283e-05
"ABAT",0.000169147982324361
"ABCA1",1.25096536035584e-05
"ABCA12",1.32163794840131e-06
"ABCA13",3.43637665836451e-06
"ABCA2",3.76448825016637e-05
"ABCA3",3.41286066690313e-05
"ABCA4",4.96889942248485e-06
"ABCA5",2.99583624640773e-05
"ABCA6",2.39921448976605e-06
"ABCA7",2.32031009474694e-05
"ABCA8",2.73847673598471e-05
"ABCA9",1.15635078906412e-05
"ABCB1",1.77995448459637e-05
"ABCB10",1.40434836701211e-06
"ABCB11",3.20857991151055e-06
"ABCB4",3.54459563675426e-06
"ABCB5",6.29812151603746e-06
"ABCB6",2.97599974891368e-05
"ABCB7",9.308295323251e-06
"ABCB8",1.53850522168601e-05
"ABCB9",2.9457228125589e-05
"ABCC1",4.74580213024697e-05
"ABCC10",4.46921322912153e-05
"ABCC11",4.53816993183227e-06
"ABCC12",3.85047949379754e-06
"ABCC2",1.47582035117174e-06
"ABCC3",3.70637247438712e-05
"ABCC4",2.37078736149152e-05
"ABCC5",5.2587162169012e-05
"ABCC6",8.59692573578364e-06
"ABCC8",1.48519537356252e-05
"ABCC9",1.58967577528619e-05
"ABCD1",4.14010017316965e-06
"ABCD2",3.46058451506007e-06
"ABCD3",5.09646671771924e-05
"ABCD4",5.88941755167293e-06
"ABCE1",5.28702790277224e-05
"ABCF1",1.84362836160585e-05
"ABCF2",1.00692406432497e-05
"ABCF3",1.31028985539624e-05
"ABCG1",6.45571374084434e-05
"ABCG2",1.03231471985159e-05
"ABCG4",7.42690824588027e-06
"ABCG5",1.3606411178306e-06
"ABCG8",1.49396216796559e-06
"ABHD1",2.82351008213255e-06
"ABHD10",2.73536033619216e-05
"ABHD11",3.01240047186218e-05
"ABHD12",2.92591894880619e-05
"ABHD12B",3.36908318111748e-06
"ABHD13",4.3141393436758e-06
"ABHD14A",1.21086941700858e-05
"ABHD14B",1.50759114242702e-06
"ABHD15",2.22775052878696e-06
"ABHD16A",2.39812664417613e-05
"ABHD17A",3.63896640340765e-06
"ABHD17B",4.35876605770894e-05
"ABHD17C",7.11062619381844e-06
"ABHD18",4.42174548957451e-05
"ABHD2",0.000234876275969003
"ABHD3",5.21553904216555e-06
"ABHD4",5.0468760815477e-06
"ABHD5",2.59029726482017e-05
"ABHD6",5.74855324896842e-05
"ABHD8",4.85113691961761e-06
"ABI1",0.000134402231200859
"ABI2",0.000483226798771228
"ABI3",1.4552214942701e-05
"ABI3BP",5.14433148413034e-06
"ABITRAM",1.33437079906205e-05
"ABL1",1.8129438026464e-05
"ABL2",6.88575052320002e-05
"ABLIM1",9.32119012478806e-05
"ABLIM2",9.34579842318875e-05
"ABLIM3",2.9022227163872e-05
"ABO",0.000298199933057616
"ABR",7.37284783805627e-05
"ABRACL",6.26326130298145e-06
"ABRAXAS1",3.06769360556568e-05
"ABRAXAS2",1.16762261055059e-05
"ABT1",3.70651748224514e-06
"ABTB1",3.8148048289418e-05
"ABTB2",2.04871552836711e-05
"ABTB3",5.09857034978096e-06
"ACAA1",6.15848127810939e-05
"ACAA2",4.47999258573841e-05
"ACACA",3.71103683443677e-05
"ACACB",0.000686322699646495
"ACAD10",3.31712239564205e-05
"ACAD11",2.21135794257969e-05
"ACAD8",3.10644963227941e-06
"ACAD9",6.71378900272235e-06
"ACADL",3.30195512724668e-06
"ACADM",3.3188488452631e-06
"ACADS",2.17435818160414e-05
"ACADSB",3.58487672329123e-06
"ACADVL",1.23268610412843e-05
"ACAN",4.18146227351843e-05
"ACAP1",4.39017708870037e-05
"ACAP2",8.51597640652e-05
"ACAP3",1.55318094620151e-05
"ACAT1",2.42119757050397e-05
"ACAT2",9.42906238803043e-06
"ACBD3",3.47144793946527e-05
"ACBD4",6.8452014785747e-06
"ACBD5",2.06573445580244e-05
"ACBD6",1.93571438789432e-05
"ACCS",1.41651071783967e-05
"ACD",2.40035497923509e-06
"ACE",6.14259834801696e-06
"ACE2",2.41374051488671e-06
"ACER1",3.88095395608873e-06
"ACER2",3.32778642798868e-06
"ACER3",0.000109606133162312
"ACHE",2.5711166062456e-05
"ACIN1",1.25256410785825e-05
"ACKR1",8.12978610899076e-06
"ACKR2",1.59035435523377e-05
"ACKR3",1.05350208718339e-05
"ACKR4",7.85778641922742e-06
"ACLY",0.00016384821260482
"ACMSD",1.32070738697924e-06
"ACO1",7.34511310172039e-06
"ACO2",1.2396975678886e-05
"ACOT11",5.15478094686189e-05
"ACOT12",1.44296607782409e-06
"ACOT13",1.04531267872274e-05
"ACOT2",1.81057361366999e-06
"ACOT4",2.1166630464215e-06
"ACOT6",1.40782686393926e-06
"ACOT7",8.79058562341873e-05
"ACOT8",1.17480348109485e-05
"ACOT9",5.10821993616158e-06
"ACOX1",5.16216303620953e-05
"ACOX2",2.3378402086758e-06
"ACOX3",1.61236252591816e-05
"ACOXL",5.91627032195051e-06
"ACP1",0.000110336465862433
"ACP2",5.5054417280729e-06
"ACP3",9.27512182415184e-06
"ACP4",2.28168310960995e-05
"ACP5",4.96128705513553e-06
"ACP6",1.21858101108421e-05
"ACR",3.43448293207873e-06
"ACRBP",2.05669631099997e-05
"ACRV1",1.40495648961476e-05
"ACSBG1",2.05751757975458e-05
"ACSBG2",2.04641861632457e-06
"ACSF2",1.35594321870214e-05
"ACSF3",1.53416014121978e-05
"ACSL1",1.11470018076029e-05
"ACSL3",0.000110878411452733
"ACSL4",7.44967994892588e-05
"ACSL5",1.32797362404319e-05
"ACSL6",4.9417181360496e-05
"ACSM1",3.76470927221964e-06
"ACSM3",3.47210253766872e-06
"ACSM5",7.00075575905467e-06
"ACSS1",6.36759996216043e-05
"ACSS2",8.6965442840438e-06
"ACSS3",4.24268866730122e-06
"ACTA1",3.08157807768365e-06
"ACTA2",3.28528569286287e-05
"ACTB",0.015452445172538
"ACTC1",2.14667506917961e-06
"ACTG1",0.00117130160287176
"ACTG2",4.61552491010364e-06
"ACTL6A",1.19803616593628e-06
"ACTL6B",3.06062815555991e-05
"ACTMAP",5.96108929526301e-06
"ACTN1",5.65267236313759e-05
"ACTN2",4.27275723524459e-05
"ACTN3",2.85197431359997e-06
"ACTN4",2.08909631484463e-05
"ACTR10",3.88644302238118e-05
"ACTR1A",3.00469913302613e-05
"ACTR1B",1.1566910609059e-05
"ACTR2",0.000715726062967957
"ACTR3",0.000230121480129556
"ACTR3B",4.69965638308182e-05
"ACTR3C",1.75838246953557e-05
"ACTR5",9.55296751654218e-06
"ACTR6",1.0813237844156e-05
"ACTR8",1.29490259859257e-05
"ACTRT3",1.30455679939317e-06
"ACVR1",4.06757501624292e-06
"ACVR1B",0.00016389305681632
"ACVR1C",3.52490180714104e-05
"ACVR2A",9.44595624445427e-05
"ACVR2B",4.43091458626344e-05
"ACVR2B-AS1",1.2860891604945e-05
"ACVRL1",1.79502603006687e-05
"ACY1",1.72085090379419e-05
"ACY3",4.43574403321058e-06
"ACYP1",1.36225802947128e-05
"ACYP2",8.11226060519752e-05
"ADA",7.51077027520047e-06
"ADA2",2.79932762915631e-06
"ADAD2",1.71632649572125e-05
"ADAM10",0.000128108056907664
"ADAM11",2.94560653381764e-05
"ADAM12",1.62480933755415e-05
"ADAM15",1.59844602071772e-05
"ADAM17",0.000124434908049299
"ADAM18",2.39048141986738e-06
"ADAM19",1.47393940852165e-05
"ADAM2",1.35826536457018e-06
"ADAM21",1.42192651538585e-05
"ADAM22",0.000149671731957209
"ADAM23",4.78844896564226e-05
"ADAM28",2.06995598027878e-05
"ADAM29",1.81643056816226e-06
"ADAM30",4.3037834984243e-06
"ADAM32",1.95452084263518e-06
"ADAM33",5.34154431410151e-05
"ADAM5",2.83639220618011e-06
"ADAM7",4.33755505401632e-06
"ADAM8",3.58495516952486e-05
"ADAM9",5.19060768019298e-05
"ADAMTS1",5.69376069859841e-05
"ADAMTS10",4.86641088626426e-05
"ADAMTS12",9.27851343978828e-06
"ADAMTS13",2.31486972603814e-05
"ADAMTS14",1.1325453100583e-05
"ADAMTS15",9.84390256701701e-06
"ADAMTS16",2.34374284641077e-05
"ADAMTS16-DT",7.22139129156488e-06
"ADAMTS17",1.48469636089394e-05
"ADAMTS18",3.64389436764213e-06
"ADAMTS19",5.19928615974383e-06
"ADAMTS2",1.89141675191561e-05
"ADAMTS20",2.21716287123415e-06
"ADAMTS3",1.68951723051836e-06
"ADAMTS4",2.13328545858783e-06
"ADAMTS5",6.62087954631998e-06
"ADAMTS6",4.82729743685876e-06
"ADAMTS7",3.87429656659208e-05
"ADAMTS8",1.92208702571523e-05
"ADAMTS9",2.03757295250368e-05
"ADAMTS9-AS1",3.62990851479352e-06
"ADAMTS9-AS2",7.42624628024037e-06
"ADAMTSL1",1.27980688923402e-05
"ADAMTSL2",6.84426963129347e-06
"ADAMTSL3",1.30307108113412e-05
"ADAMTSL4",6.78364864142661e-06
"ADAMTSL4-AS2",3.68304844615634e-06
"ADAMTSL5",2.02846990689489e-05
"ADAP1",4.25613958921494e-05
"ADAP2",2.22058719616949e-05
"ADAR",0.000688832199832895
"ADARB1",6.68621000093758e-05
"ADARB2",1.69789239382617e-05
"ADARB2-AS1",1.04906260991986e-05
"ADAT1",1.07786979665053e-05
"ADAT2",5.77193417309333e-06
"ADCK1",1.01389385248222e-05
"ADCK2",2.74115119800432e-05
"ADCK5",3.94502839193743e-06
"ADCY1",0.000170680164718351
"ADCY10",4.95090693457587e-06
"ADCY2",0.000101765350639083
"ADCY3",6.93393450719534e-05
"ADCY4",9.97215110829795e-06
"ADCY5",3.28067347641901e-05
"ADCY6",2.86259972694729e-06
"ADCY6-DT",1.46835897978342e-06
"ADCY7",1.00846088913119e-05
"ADCY8",3.23169437550381e-06
"ADCY9",0.000152126033572125
"ADCYAP1R1",3.32983078888605e-05
"ADD1",0.000103962281809437
"ADD2",0.000446493131543845
"ADD3",0.00023737689108007
"ADD3-AS1",4.39714109817342e-05
"ADGB",1.33402167422736e-06
"ADGRA1",2.98855636281244e-06
"ADGRA2",2.97279127747818e-05
"ADGRA3",1.43791979648252e-05
"ADGRB1",2.39541212546475e-05
"ADGRB2",1.89295513772653e-05
"ADGRB3",1.22406125291636e-05
"ADGRD1",2.3287831959358e-06
"ADGRD2",3.34627047223189e-05
"ADGRE1",2.65902232010108e-06
"ADGRE2",5.87218560952241e-06
"ADGRE3",1.82543787516723e-06
"ADGRE5",1.75568485403648e-06
"ADGRF1",7.99186971701205e-06
"ADGRF3",2.61428532771209e-06
"ADGRF5",5.96337612397184e-06
"ADGRG1",6.1627714532867e-05
"ADGRG2",1.60541267124216e-06
"ADGRG3",1.27089127768862e-05
"ADGRG4",1.52804123949182e-06
"ADGRG5",1.21793379765825e-05
"ADGRG6",6.60340176931968e-06
"ADGRG7",1.29482029988807e-06
"ADGRL1",0.000278289650782604
"ADGRL2",7.54673283684024e-06
"ADGRL3",5.3755102404729e-05
"ADGRL4",2.50569531814667e-06
"ADGRV1",1.1832879969108e-05
