"geneID","Promedio"
"A1BG",2.10101228904991e-06
"A1BG-AS1",2.22342827518128e-05
"A1CF",2.63033883290114e-06
"A2M",5.09449724914657e-05
"A2M-AS1",1.22604075812968e-05
"A2ML1",3.31174838723419e-06
"A4GALT",2.37961703275139e-05
"A4GNT",1.50448618914281e-06
"AAAS",1.01712559207121e-05
"AACS",5.65943489001271e-06
"AADAC",1.55524723552946e-06
"AADAT",3.71869291534387e-06
"AAGAB",1.5434966741782e-05
"AAK1",0.000266037109627443
"AAMDC",4.21604618926698e-05
"AAMP",1.42031535873998e-05
"AANAT",4.65035911944437e-06
"AAR2",2.75599558073472e-06
"AARS1",3.16305472032847e-05
"AARS2",5.5170932589214e-05
"AARSD1",1.89288759938999e-05
"AASDH",1.01104900551353e-05
"AASDHPPT",9.81157092571042e-05
"AASS",7.13454805976269e-05
"AATBC",1.83944579661126e-05
"AATF",1.10020417332737e-05
"AATK",2.16444331173134e-05
"ABAT",0.000149968813761541
"ABCA1",1.41790840882365e-05
"ABCA12",1.4224042699572e-06
"ABCA13",2.88534546533518e-06
"ABCA2",4.13807624766474e-05
"ABCA3",3.50420553085781e-05
"ABCA4",4.64104967461726e-06
"ABCA5",2.37044875260691e-05
"ABCA6",2.30427238314297e-06
"ABCA7",2.09734054292697e-05
"ABCA8",4.931980010494e-05
"ABCA9",1.40761942344222e-05
"ABCB1",1.49834466381249e-05
"ABCB10",1.50013423305302e-06
"ABCB11",2.70016337121829e-06
"ABCB4",3.72462192583532e-06
"ABCB5",6.48348212716325e-06
"ABCB6",2.92426376205647e-05
"ABCB7",8.98840277825666e-06
"ABCB8",1.55513711177882e-05
"ABCB9",3.14793082095728e-05
"ABCC1",4.13298977265578e-05
"ABCC10",4.66040722207258e-05
"ABCC11",4.97888074901101e-06
"ABCC12",3.64057870451525e-06
"ABCC2",1.49409664958401e-06
"ABCC3",3.07750899516347e-05
"ABCC4",1.97990522296127e-05
"ABCC5",5.85017351356574e-05
"ABCC6",6.71936399199287e-06
