"geneID","Promedio"
"A1BG",2.42539370155716e-06
"A1BG-AS1",2.06140736277009e-05
"A1CF",3.03106732367475e-06
"A2M",5.08908883498518e-05
"A2M-AS1",1.45333810914339e-05
"A2ML1",3.48260065061559e-06
"A4GALT",2.2534652558344e-05
"A4GNT",1.3832590549326e-06
"AAAS",1.13568852009984e-05
"AACS",6.45134073891652e-06
"AADAC",2.03131434891387e-06
"AADAT",3.51695832663361e-06
"AAGAB",1.49990090528516e-05
"AAK1",0.000257680678396286
"AAMDC",4.13178898481291e-05
"AAMP",1.41110970785637e-05
"AANAT",4.60427036134936e-06
"AAR2",2.91225983511778e-06
"AARS1",3.5702225860657e-05
"AARS2",4.11013593722409e-05
"AARSD1",2.06000718260915e-05
"AASDH",1.00019793217449e-05
"AASDHPPT",0.000106134777702742
"AASS",6.81454900176171e-05
"AATBC",1.85514467177524e-05
"AATF",1.33799471059574e-05
"AATK",2.14394838927681e-05
"ABAT",0.000171439152848975
"ABCA1",1.5051730277748e-05
"ABCA12",1.59737265045856e-06
"ABCA13",3.06506999597342e-06
"ABCA2",3.97617993119051e-05
"ABCA3",3.38017594981261e-05
"ABCA4",5.08582570775888e-06
"ABCA5",2.25778097154589e-05
"ABCA6",2.64587579915392e-06
"ABCA7",1.92022363427463e-05
"ABCA8",4.40820466609148e-05
"ABCA9",1.38315034358404e-05
"ABCB1",1.58695577971322e-05
"ABCB10",1.56433772079545e-06
"ABCB11",3.69303838067672e-06
"ABCB4",3.74230615793211e-06
"ABCB5",7.40992214933916e-06
"ABCB6",2.93436889657038e-05
"ABCB7",1.04262224753177e-05
"ABCB8",1.73747044845398e-05
"ABCB9",3.26830977389128e-05
"ABCC1",3.94536583649038e-05
"ABCC10",6.92290647533566e-05
"ABCC11",4.51456243539751e-06
"ABCC12",3.20386670905185e-06
"ABCC2",1.7174015064729e-06
"ABCC3",3.38901169358187e-05
"ABCC4",2.36083727360464e-05
"ABCC5",5.10186519383874e-05
"ABCC6",7.92506222361986e-06
"ABCC8",1.22969770221172e-05
"ABCC9",1.90999922326516e-05
"ABCD1",4.25114506265848e-06
"ABCD2",2.566266738217e-06
"ABCD3",6.35023811786571e-05
"ABCD4",5.85189720174292e-06
"ABCE1",5.26300632947289e-05
"ABCF1",2.27095353607047e-05
"ABCF2",1.20236235506083e-05
"ABCF3",1.48075827607062e-05
"ABCG1",7.95790733307158e-05
"ABCG2",1.29524285620057e-05
"ABCG4",6.59778966165929e-06
"ABCG5",1.45535951172372e-06
"ABCG8",1.92494527871612e-06
"ABHD1",3.27690038082609e-06
"ABHD10",2.7439039838979e-05
"ABHD11",3.32602297720954e-05
"ABHD12",3.16203119053901e-05
"ABHD12B",3.26576007515419e-06
"ABHD13",4.33313012463857e-06
"ABHD14A",1.08764316131986e-05
"ABHD14B",2.55156389686079e-06
"ABHD15",2.18360312762814e-06
"ABHD16A",2.53356422125753e-05
"ABHD17A",3.58181148639481e-06
"ABHD17B",4.93264024725319e-05
"ABHD17C",6.69054411239222e-06
"ABHD18",4.53588766540101e-05
"ABHD2",0.000211114293645544
"ABHD3",5.25944887901473e-06
"ABHD4",6.36917303415053e-06
"ABHD5",2.8272152969727e-05
"ABHD6",5.49536597570717e-05
"ABHD8",5.46135098440472e-06
"ABI1",0.000136548548192847
"ABI2",0.000428181771651269
"ABI3",1.48541254571434e-05
"ABI3BP",5.71105843032302e-06
"ABITRAM",1.17611848352182e-05
"ABL1",1.79665340058299e-05
"ABL2",6.46878139551424e-05
"ABLIM1",0.000102380335784372
"ABLIM2",8.89246942856036e-05
"ABLIM3",3.38077811733e-05
"ABO",0.000298189152034839
"ABR",7.27001037684285e-05
"ABRACL",6.62666233898237e-06
"ABRAXAS1",3.88511099230638e-05
"ABRAXAS2",1.14079032360027e-05
"ABT1",4.03907548527675e-06
"ABTB1",4.23549110677805e-05
"ABTB2",2.13900207870189e-05
"ABTB3",4.68047270335432e-06
"ACAA1",7.11498370535358e-05
"ACAA2",4.53471354672701e-05
"ACACA",4.06925438547914e-05
"ACACB",0.000899015154039378
"ACAD10",3.33833359347483e-05
"ACAD11",3.5305741736794e-05
"ACAD8",3.14360608060492e-06
"ACAD9",7.64864266063394e-06
"ACADL",3.19339566038201e-06
"ACADM",4.65901703342602e-06
"ACADS",2.37221562935095e-05
"ACADSB",3.68507939387064e-06
"ACADVL",1.23177732038918e-05
"ACAN",4.46466703571259e-05
"ACAP1",4.76842042593774e-05
"ACAP2",8.56924896362851e-05
"ACAP3",1.32812162416509e-05
"ACAT1",2.33733637578158e-05
"ACAT2",9.54777611933667e-06
"ACBD3",3.89239050144959e-05
"ACBD4",7.62575901713622e-06
"ACBD5",2.74469651081132e-05
"ACBD6",1.4518101520342e-05
"ACCS",1.89210903010054e-05
"ACD",2.20201693439434e-06
"ACE",8.27563653213334e-06
"ACE2",2.1302457398869e-06
"ACER1",4.43236342636693e-06
"ACER2",3.07448489071372e-06
"ACER3",0.000121450855450018
"ACHE",2.63916486306642e-05
"ACIN1",1.53845715036091e-05
"ACKR1",1.01812126928342e-05
"ACKR2",1.56984988222785e-05
"ACKR3",1.28302371754549e-05
"ACKR4",5.15229836099885e-06
"ACLY",0.000176097591180316
"ACMSD",1.25868723237839e-06
"ACO1",7.25667128858277e-06
"ACO2",1.12458786864371e-05
"ACOT11",5.50820319611045e-05
"ACOT12",1.57068031781995e-06
"ACOT13",9.46055249830096e-06
"ACOT2",1.67347203615493e-06
"ACOT4",2.30830757056309e-06
"ACOT6",1.45455771304975e-06
"ACOT7",6.44603922562425e-05
"ACOT8",1.0521534828463e-05
"ACOT9",5.36545794077093e-06
"ACOX1",5.69382785783884e-05
"ACOX2",2.30304536563027e-06
"ACOX3",1.44300632727196e-05
"ACOXL",6.42163863538567e-06
"ACP1",8.62734581088331e-05
"ACP2",4.4713661772187e-06
"ACP3",9.25687933467899e-06
"ACP4",2.85578715072314e-05
"ACP5",5.57429305282658e-06
"ACP6",1.17622200054098e-05
"ACR",2.61779850502698e-06
"ACRBP",2.22187220589007e-05
"ACRV1",1.51092495494143e-05
"ACSBG1",2.17301311711883e-05
"ACSBG2",2.00979186560141e-06
"ACSF2",1.39651107991072e-05
"ACSF3",1.89523990875344e-05
"ACSL1",1.39864322058014e-05
"ACSL3",9.97602617957483e-05
"ACSL4",8.80528098968025e-05
"ACSL5",1.38184148295727e-05
"ACSL6",4.44191890263982e-05
"ACSM1",4.09500842957328e-06
"ACSM3",3.99015113570868e-06
"ACSM5",6.57018682670608e-06
"ACSS1",6.92612799110745e-05
"ACSS2",9.62917027971279e-06
"ACSS3",4.07779400236432e-06
"ACTA1",3.47334830361108e-06
"ACTA2",5.96079297145106e-05
"ACTB",0.0141689708715775
"ACTC1",2.64243364164138e-06
"ACTG1",0.00098404166451179
"ACTG2",5.30636456702575e-06
"ACTL6A",1.19057731581039e-06
"ACTL6B",3.25182429604842e-05
"ACTMAP",6.15177262195243e-06
"ACTN1",5.66166032528832e-05
"ACTN2",4.77971343154637e-05
"ACTN3",2.51205435886395e-06
"ACTN4",1.9753285591993e-05
"ACTR10",3.0082348142511e-05
"ACTR1A",3.42423379145882e-05
"ACTR1B",1.27421881174841e-05
"ACTR2",0.000547847606516884
"ACTR3",0.000255080725603762
"ACTR3B",4.51629731828098e-05
"ACTR3C",2.24893304547798e-05
"ACTR5",1.10696619479407e-05
"ACTR6",1.11810709738367e-05
"ACTR8",1.12839335749958e-05
"ACTRT3",1.50351990636853e-06
"ACVR1",3.21394576180023e-06
"ACVR1B",0.000142138626032953
"ACVR1C",3.39602808770787e-05
"ACVR2A",9.92130542663477e-05
"ACVR2B",5.77592546634649e-05
"ACVR2B-AS1",1.76698949711364e-05
"ACVRL1",2.11189068997954e-05
"ACY1",1.7574650942395e-05
"ACY3",4.73195083380977e-06
"ACYP1",1.17058979803798e-05
"ACYP2",7.56461658237381e-05
"ADA",7.27663614007604e-06
"ADA2",3.10643506467752e-06
