"geneID","Promedio"
"A1BG",2.13912123054291e-06
"A1BG-AS1",1.77965264117577e-05
"A1CF",3.34543651088098e-06
"A2M",4.31810539597321e-05
"A2M-AS1",9.75127842909957e-06
"A2ML1",4.20613522039813e-06
"A4GALT",2.62943913257957e-05
"A4GNT",1.58087281228835e-06
"AAAS",1.20123771299961e-05
"AACS",4.72224851220318e-06
"AADAC",1.71503983091773e-06
"AADAT",3.99082902805216e-06
"AAGAB",1.72760864019643e-05
"AAK1",0.00025919383702892
"AAMDC",3.74404841080769e-05
"AAMP",1.34243411777527e-05
"AANAT",5.81726519073004e-06
"AAR2",2.88683774748431e-06
"AARS1",3.6961876151315e-05
"AARS2",3.88001931569745e-05
"AARSD1",1.86032791260041e-05
"AASDH",8.94018544348055e-06
"AASDHPPT",0.000119710092403332
"AASS",6.70455088084555e-05
"AATBC",2.20611535613995e-05
"AATF",1.20624470579597e-05
"AATK",2.18450523757983e-05
"ABAT",0.000155266663711002
"ABCA1",1.39308813525546e-05
"ABCA12",1.63404792094996e-06
"ABCA13",2.96375255919615e-06
"ABCA2",4.14293172353855e-05
"ABCA3",3.01044515862304e-05
"ABCA4",5.34705402271453e-06
"ABCA5",2.08675678658732e-05
"ABCA6",3.10897364072999e-06
"ABCA7",1.86593829750287e-05
"ABCA8",3.98303778550334e-05
"ABCA9",1.25118477442721e-05
"ABCB1",1.70642834873853e-05
"ABCB10",1.15766698951073e-06
"ABCB11",2.81033920456087e-06
"ABCB4",4.01219958897054e-06
"ABCB5",6.22973835320024e-06
"ABCB6",2.98300097614634e-05
"ABCB7",8.08400686782844e-06
"ABCB8",1.66598207867691e-05
"ABCB9",3.30295926706698e-05
"ABCC1",4.76173432461813e-05
"ABCC10",3.78523023196913e-05
"ABCC11",4.69077853696963e-06
"ABCC12",3.7441511121009e-06
"ABCC2",1.51801013861346e-06
"ABCC3",3.60673965925642e-05
"ABCC4",2.02870402851099e-05
"ABCC5",5.58345857962373e-05
"ABCC6",8.65486339006024e-06
"ABCC8",1.29060665128809e-05
"ABCC9",1.80518293191472e-05
"ABCD1",5.03395242970724e-06
"ABCD2",3.20144365655352e-06
"ABCD3",5.65907368838597e-05
"ABCD4",7.21215069102333e-06
"ABCE1",4.30176775358169e-05
"ABCF1",1.54636837825715e-05
"ABCF2",1.28713188162094e-05
"ABCF3",1.63186296943224e-05
"ABCG1",8.01173999463181e-05
"ABCG2",9.15200726239298e-06
"ABCG4",6.07674236902216e-06
"ABCG5",1.38941862690196e-06
"ABCG8",2.47966031690743e-06
"ABHD1",3.82047917914946e-06
"ABHD10",2.84848169094241e-05
"ABHD11",3.33525254988346e-05
"ABHD12",2.80578554698459e-05
"ABHD12B",2.9614983069419e-06
"ABHD13",5.22821236515231e-06
"ABHD14A",1.23910761299074e-05
"ABHD14B",2.98412445522686e-06
"ABHD15",2.49478165800796e-06
"ABHD16A",2.91669673803566e-05
"ABHD17A",3.76170420489412e-06
"ABHD17B",4.66129499274563e-05
"ABHD17C",6.40054250879017e-06
"ABHD18",4.80745563624972e-05
"ABHD2",0.000212080851448572
"ABHD3",6.55556119553621e-06
"ABHD4",7.15639916319359e-06
"ABHD5",2.67459482856376e-05
"ABHD6",5.47193982741396e-05
"ABHD8",5.90494331908845e-06
"ABI1",0.000152241373012322
"ABI2",0.000453863022910478
"ABI3",1.78391572449066e-05
"ABI3BP",5.04166271546814e-06
"ABITRAM",1.23161029494583e-05
"ABL1",2.18567411060513e-05
"ABL2",7.77882513654895e-05
"ABLIM1",0.000111074353285841
"ABLIM2",9.92154525184876e-05
"ABLIM3",3.07966050316375e-05
"ABO",0.000305241071301013
"ABR",7.88556381088311e-05
"ABRACL",4.00420541577568e-06
"ABRAXAS1",3.28122857900326e-05
"ABRAXAS2",1.00192467513937e-05
"ABT1",3.72269517469802e-06
"ABTB1",4.50848133992187e-05
"ABTB2",2.16526222088014e-05
"ABTB3",5.69445488578813e-06
"ACAA1",7.12498677481707e-05
"ACAA2",4.89349057042688e-05
"ACACA",4.02599651445011e-05
"ACACB",0.000739692567712209
"ACAD10",3.62820188781315e-05
"ACAD11",3.77187110658849e-05
"ACAD8",3.72243547767227e-06
"ACAD9",7.09089859416805e-06
"ACADL",4.71419314659928e-06
"ACADM",3.08546817352364e-06
"ACADS",2.23642000828632e-05
"ACADSB",2.9450648935877e-06
"ACADVL",1.39985828964087e-05
"ACAN",4.80599251717188e-05
"ACAP1",5.21825428945051e-05
"ACAP2",8.90320434408921e-05
"ACAP3",1.53669311036283e-05
"ACAT1",1.89491912628309e-05
"ACAT2",7.60986379103913e-06
"ACBD3",3.13463968319612e-05
"ACBD4",7.74129343968864e-06
"ACBD5",1.89112362114969e-05
"ACBD6",1.70277405814483e-05
"ACCS",1.8185760321857e-05
"ACD",1.86549022163872e-06
"ACE",8.31767805399127e-06
"ACE2",2.36137084510244e-06
"ACER1",6.06971352195334e-06
"ACER2",4.9277769751782e-06
"ACER3",0.000115462624015284
"ACHE",2.88327334974205e-05
"ACIN1",1.37272031776281e-05
"ACKR1",8.14481877913089e-06
"ACKR2",1.4521982123294e-05
