geneID	14.14_MODULE-310	12.9_STANHILL-HRAS-TRANSFROMATION-UP	7.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	14.2_GNF2-TPT1	13.13_KANG-DOXORUBICIN-RESISTANCE-DN	14.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	13.10_MIPS-SMN-POLII-RHA-COMPLEX	11.7_chr9p11	11.10_WEBER-METHYLATED-HCP-IN-SPERM-DN	5.2_GNF2-TPT1
A1BG	-8.459778e-01	-5.191603e-01	-5.179923e-01	-3.982475e-01	-7.296834e-01	-8.459778e-01	-1.016140e+00	-6.165694e-01	-4.696816e-01	-3.426272e-01
A1BG-AS1	-2.409390e-01	-1.727506e-01	-4.993076e-01	-4.883687e-01	1.027906e-01	-8.702303e-01	-9.449547e-01	-7.324480e-01	-5.823719e-01	-5.017526e-01
A1CF	-8.534845e-01	-1.138356e-02	-5.390559e-01	-8.576457e-01	-4.942344e-01	-4.949552e-01	-5.688380e-01	-4.111505e-01	-2.631798e-01	-5.476081e-01
A2M	-1.403348e+00	-8.934213e-01	-1.225749e+00	-5.830563e-01	-8.738355e-01	-1.723214e+00	-3.251852e-01	-4.628232e-01	-8.136350e-01	-2.273303e-02
A2M-AS1	-8.357187e-01	-1.295343e+00	-9.708728e-01	-1.820464e-01	-2.568066e-02	-1.477579e+00	-2.863283e-01	-7.177663e-01	-7.144386e-01	1.717052e-01
A2ML1	-7.039060e-01	2.668888e-02	-4.272874e-01	-7.731689e-01	-5.702318e-01	-4.620957e-01	-1.702148e-01	-1.637147e-01	-1.974233e-01	-4.004569e-01
A2MP1	-8.137417e-01	-9.133671e-01	-3.935235e-01	-5.552418e-01	-3.024281e-01	-1.385050e+00	-2.968375e-02	-2.684880e-01	5.545240e-02	-1.001864e-01
A4GALT	-1.650315e+00	-1.548411e-02	-9.372349e-01	-1.572728e+00	-1.492465e+00	-1.679167e+00	-1.414614e+00	-1.072574e+00	-8.541696e-01	-9.273471e-01
A4GNT	-2.023149e-01	-5.082246e-03	-2.935135e-01	-7.369607e-01	-2.892807e-01	-6.080385e-01	-2.147257e-01	-4.557826e-01	-1.430919e-01	-3.368104e-01
AA06	-6.283563e-01	-5.424993e-01	-2.500451e-01	-7.139246e-01	8.336187e-02	-8.315245e-01	-7.534347e-01	-5.288019e-01	-7.071880e-01	-3.222583e-01
