geneID	14.14_MODULE-310	12.9_STANHILL-HRAS-TRANSFROMATION-UP	7.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	14.2_GNF2-TPT1	13.13_KANG-DOXORUBICIN-RESISTANCE-DN	14.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	13.10_MIPS-SMN-POLII-RHA-COMPLEX	11.7_chr9p11	11.10_WEBER-METHYLATED-HCP-IN-SPERM-DN	5.2_GNF2-TPT1
A1BG	0	2.206088e-01	9.284468e-02	4.477303e-01	2.864569e-01	0	0	1.347185e-01	2.816062e-01	2.007432e-01
A1BG-AS1	8.906023e-01	1.198642e+00	3.960229e-01	6.431727e-01	1.130269e+00	2.613111e-01	1.853139e-01	3.965288e-01	5.466048e-01	4.811414e-01
A1CF	4.161188e-03	8.711734e-01	7.055563e-02	0	2.174383e-01	3.626905e-01	1.428347e-01	2.898078e-01	4.377785e-01	9.251919e-02
A2M	5.759282e-01	5.095209e-01	3.812253e-01	1.396220e+00	6.579886e-01	2.560631e-01	1.206639e+00	1.144450e+00	7.936381e-01	1.323916e+00
A2M-AS1	6.418599e-01	3.050821e-01	3.323392e-01	1.295532e+00	1.378074e+00	0	1.117427e+00	4.331905e-01	4.365182e-01	9.809848e-01
A2ML1	8.789476e-02	7.008005e-01	2.273479e-01	1.863184e-02	2.325368e-01	3.297050e-01	6.325537e-01	4.340895e-01	4.003808e-01	1.862784e-01
A2MP1	8.606640e-01	4.214783e-01	7.389261e-01	1.119164e+00	8.300046e-01	2.893560e-01	1.102749e+00	7.016911e-01	9.701792e-01	7.135482e-01
A4GALT	3.357141e-01	1.456201e+00	1.670117e-01	4.133015e-01	1.224860e-01	3.068619e-01	2.003376e-01	3.502275e-01	5.686323e-01	2.887425e-01
A4GNT	5.346458e-01	7.711061e-01	1.176947e-01	0	2.974003e-01	1.289222e-01	3.719553e-01	0	3.126906e-01	3.160496e-02
AA06	5.441395e-01	4.395382e-01	5.358990e-01	4.585712e-01	9.598014e-01	3.409714e-01	2.063667e-01	2.773438e-01	9.895769e-02	3.285294e-01
AAAS	3.929549e-01	1.000073e+00	2.434316e-01	2.914752e-01	6.704378e-01	4.636990e-01	4.429470e-01	5.873487e-01	6.675524e-01	3.980587e-01
AACS	5.309473e-01	4.205965e-01	5.821970e-01	1.928985e-01	3.423704e-01	8.832116e-01	2.832271e-01	1.590345e-01	2.594971e-01	3.346529e-01
AACSP1	3.642116e-01	6.384423e-01	4.629563e-02	2.351984e-01	6.562623e-01	5.403387e-02	4.544882e-02	1.456290e-01	2.638907e-01	2.075410e-01
AADAC	0	4.094632e-01	1.907850e-01	2.034769e-01	2.753280e-01	1.802213e-01	0	2.004076e-02	3.536627e-01	5.271956e-02
AADACL2	2.348209e-01	8.499788e-01	1.099240e-01	0	3.372425e-01	1.735384e-01	1.700199e-01	0	6.209194e-02	0
AADACP1	0	5.968329e-01	1.449584e-01	3.462875e-02	5.082900e-01	2.978219e-01	3.766020e-01	6.010643e-02	3.747237e-01	1.670009e-01
AADAT	5.943621e-01	0	6.100832e-01	6.983447e-01	3.255439e-01	6.357557e-01	3.443073e-01	6.408262e-01	4.466618e-01	7.350430e-01
AAGAB	6.471018e-01	1.426277e+00	6.137296e-01	1.315159e-01	5.895696e-01	7.684813e-01	3.062342e-01	4.634388e-01	9.037729e-01	2.005971e-01
AAK1	1.265593e+00	9.962225e-01	1.504895e+00	1.041369e+00	1.563181e+00	1.462777e+00	1.182991e+00	1.212794e+00	9.980045e-01	1.184106e+00
AAMDC	7.513240e-01	1.024017e+00	3.079240e-01	1.294576e+00	1.740522e-01	1.928667e-01	7.826002e-01	6.506825e-01	7.342386e-01	8.921752e-01
AAMP	6.672950e-01	1.260710e+00	2.945180e-01	5.086108e-01	4.082183e-01	4.362262e-01	1.304552e-01	2.895277e-01	4.735581e-01	4.299639e-01
AANAT	2.932566e-01	1.121324e+00	0	1.908736e-01	0	8.029502e-02	2.267610e-01	4.181581e-02	4.855757e-01	0
AAR2	5.414860e-01	4.102979e-01	2.044635e-01	8.467181e-02	1.654920e-01	2.976293e-01	2.396154e-01	3.572491e-01	1.248756e-01	1.218272e-01
AARS1	5.097355e-01	6.040679e-01	7.027309e-01	6.369804e-01	5.073619e-01	8.000682e-01	5.796699e-01	1.043272e+00	4.184599e-01	7.703555e-01
