14.14_MODULE-310	12.9_STANHILL-HRAS-TRANSFROMATION-UP	7.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	14.2_GNF2-TPT1	13.13_KANG-DOXORUBICIN-RESISTANCE-DN	14.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	13.10_MIPS-SMN-POLII-RHA-COMPLEX	11.7_chr9p11	11.10_WEBER-METHYLATED-HCP-IN-SPERM-DN	5.2_GNF2-TPT1
CEP76	HSPA6	NKIRAS1	LOC105379426	LINC00520	SLC25A12	ZNF831	PTPRT	DNAH14	TDRKH-AS1
LOC101927069	HSPA1B	SAMD12	GLDN	SIGLEC16	AUH	RPL23AP7	ACAD11	NRIP2	TRMT11
TTR	DNAJB1	NIPA2	SCD	LPAR5	LNX1	ELAVL1	GALNT15	LIPT2-AS1	LOC105379426
PRLR	HSPA1A	FKBP1B	TRMT10B	BISPR	GPRASP1	LRP4	TUSC7	FBXL20	DARS1
GPX3	SLC7A11-AS1	SLIT2	PEX5L-AS2	EP300-AS1	C3orf70	SNORD8	ITGB8	OGFOD3	RPS15
RNF152	SMAD1-AS2	RALYL	ATXN7L3-AS1	MAPK10	B3GNT2	CXCR4	KCTD12	FAM200A	UNC5A
CENPL	MUC3A	GABRG2	CNDP1	PCF11-AS1	SMS	UPF2	RAB33A	FMO5	PEX5L-AS2
MGP	CHRM5	TAC1	EID2B	LOC286437	UNC80	ZMPSTE24	AK9	CFAP54	RPS4X
ULK2	ATF3	GRB14	MOBP	TRIM16	TCAF1	SLC16A1	RABL2B	PIK3R3	TP53INP2
PROS1	HSPB1	DIAPH2-AS1	HBA1	TXNL4B	PTMAP11	LRP2	LTF	NETO1-DT	DDHD2
CCEPR	SERPINH1	LRRC49	MYO6	PLXNC1	LGMN	KCNK6	ATP6V0D1	PDPR	XIST
MTHFD2	CPN2	SMAP1	STARD9	GOLPH3L	RPL7L1	H2AZ1	CAPN7	F11	ZNF189
CENPS	IL1RL1	SYNPR	MOG	ZNF106	PPP1R2	IL10RA	KCNJ10	PIPOX	ZNF432
SOD3	BAG3	GSKIP	LAMB1	SLC25A25-AS1	C1orf216	KHDC4	TPD52L1	SEMA3F	TRIM73
RNF185	DAOA-AS1	ANO5	MLIP	CHORDC1	RRAGD	SRPRB	LINC01347	SND1	RPL39
C1orf56	FXYD3	KIF3A	NAV1	KCNJ2	GDAP1	TMTC3	ELOA-AS1	PKIB	GOLGA7
GALNT11	PARD6G	SCG2	ANAPC4	CHPT1	WDR17	ELOVL6	ZNF417	STT3A	FGF7P3
RAB5B	KIR2DS5	ATP5MK	FAU	PRR34-AS1	ATP6V1E1	NNMT	TIGD2	CDC42EP5	AIDA
CFAP157	TAS2R7	INPP5F	TTLL7	PLGLB2	OLFM4	RIN2	PUS7	FAM177A1	TRAPPC3
EPC1	MRAP-AS1	TMEM14A	PAAF1	MARF1	RFPL1S	FRA10AC1	CYP2U1	NRTN	WDR11
CHD9NB	MRGPRF	NALF1	RPS12	HSPH1	EXTL3-AS1	DNPEP	PHF5A	ZSCAN10	TSIX
SCAMP1-AS1	TUBBP5	AQP3	RPS4X	HSPA5	EIF2AK1	OR7A5	MEGF10	UNC50	ZNF195
CLIC6	MIR3150BHG	TRAPPC6B	IFNGR1	GDPGP1	NPHP1	MS4A14	TRIM22	IL1R2	THAP1
LRRC28	KRT76	GABRB1	BACC1	DNAJB4	SSX2IP	TMEM45A	LINC02603	PCDHB10	LOC100505915
PRDX3	DNAJA4	PEG3-AS1	SKIC3	LOC101929774	UCHL5	EFNA1	PURA	TRAV10	MRI1
GGCX	MTMR11	HPRT1	UNC5A	PRICKLE2-AS3	RTN4	TAP1	ANKRD33B	GSTA1	DNAJC1
RNF20	DHX58	SNX10	WIPF1	XRN1	LATS1	GBP2	ASTN2	SNAPIN	LINC00623
ENPP2	STAU2-AS1	TENM2	PALMD	SQOR	CDC7	YES1	LAIR2	MAGEA2	PRKD3
LINC00997	C11orf40	HS6ST2	EIF2D	ZCCHC8	STK16	BTN3A3	TENM2	MZF1-AS1	WASHC1
NT5DC1	ATXN2L	SPIN3	SNX4	ZDHHC20	DCX	GIMAP2	LOC105374953	TMEM192	CLCA4
EPM2A-DT	LOC101928760	RBBP7	CNP	ZNF177	GEN1	PABPC4L	LRCH2	TXNDC8	LOC105372069
LINC01527	DHRS11	TAF13	HAUS3	LINC00680	CDS1	ACACB	MIOS	CRTAC1	MPLKIP
ZNF664	CAPG	PFKM	TRIM59	PEX13	CARF	LINC02274	LRRN1	KPNA5	NUCB2
LRP6	DDIT4	RTCA	THBS3-AS1	POLR1G	MRPL10	KCNA1	MRFAP1L1	LOXL4	AIF1L
