sampleID	14.14_MODULE-310	12.9_STANHILL-HRAS-TRANSFROMATION-UP	7.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	14.2_GNF2-TPT1	13.13_KANG-DOXORUBICIN-RESISTANCE-DN	14.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	13.10_MIPS-SMN-POLII-RHA-COMPLEX	11.7_chr9p11	11.10_WEBER-METHYLATED-HCP-IN-SPERM-DN	5.2_GNF2-TPT1
GSM697308	8.654586e-02	3.173821e-02	1.416363e+00	4.573616e-01	0	3.490157e-01	0	7.065810e-02	3.372870e-01	1.539687e+00
GSM697309	0	5.331277e-02	1.778109e+00	7.700685e-01	1.027572e-01	6.685308e-01	0	2.166943e-02	3.450858e-01	2.095401e+00
GSM697310	0	2.239547e-01	8.839885e-01	8.930226e-01	1.373839e-01	1.114292e+00	3.425283e-01	7.131707e-01	2.363157e-01	1.916024e+00
GSM697311	0	6.140919e-03	1.258077e+00	2.357802e-01	0	0	3.595692e-01	9.297211e-02	1.512011e-01	9.275460e-01
GSM697312	0	1.030765e+00	9.301601e-01	3.389767e-01	4.985582e-01	5.964279e-01	5.130499e-01	0	9.695926e-02	1.744427e+00
GSM697313	0	2.938396e-02	1.680699e+00	1.629634e+00	6.195600e-02	1.506928e+00	0	5.646292e-01	2.180260e-01	2.723401e+00
GSM697314	0	2.091372e-01	1.931280e+00	1.005550e+00	2.191826e-01	5.886902e-01	2.447600e-01	2.661299e-01	3.126015e-01	2.316842e+00
GSM697315	0	2.189983e-01	1.817415e+00	1.087416e+00	2.291614e-01	3.051009e-01	0	1.397341e-02	2.348593e-01	2.508455e+00
GSM697316	0	2.313836e-01	8.735869e-01	9.222177e-01	5.646496e-02	9.121539e-01	4.159778e-01	8.907933e-01	3.216207e-01	2.038891e+00
GSM697317	0	2.880824e-01	0	1.529942e+00	0	4.043327e-01	8.013312e-01	1.376271e-01	1.296120e-01	2.215302e+00
GSM697318	1.345478e-02	2.681383e-01	1.302271e+00	1.609041e+00	5.238858e-06	1.561636e+00	5.207698e-02	7.280820e-01	1.460760e-01	2.453208e+00
GSM697319	1.197654e+00	3.081098e-03	9.369343e-01	3.286760e-04	0	0	0	1.494500e-01	1.572593e-01	5.080699e-01
GSM697320	0	7.178775e-03	1.369849e+00	1.767280e+00	1.537687e-01	8.979528e-01	1.738347e-01	3.423636e-01	2.948377e-01	2.973344e+00
GSM697321	1.411358e-03	0	1.602343e+00	1.053567e+00	1.084166e-01	4.028310e-01	0	1.571854e-01	1.811915e-01	2.505370e+00
GSM697322	0	4.426785e-02	9.562743e-01	1.026570e+00	1.420747e-01	8.874698e-01	6.700866e-01	7.979847e-01	2.336948e-01	2.314289e+00
GSM697323	6.061643e-04	1.256153e-01	1.105080e+00	1.323503e+00	1.369171e-01	1.317900e+00	2.651821e-01	6.920982e-01	1.895473e-01	2.450864e+00
GSM697324	1.383117e-02	9.855663e-02	1.030034e+00	1.418936e+00	0	1.063617e+00	2.975663e-01	7.615993e-01	2.559861e-01	2.446409e+00
GSM697325	7.318991e-02	2.841106e-01	9.372392e-01	7.345574e-01	1.370012e-01	1.205999e+00	5.299391e-01	1.264723e+00	2.707675e-01	1.941458e+00
GSM697326	1.299488e-02	7.137712e-02	1.175258e+00	1.325029e+00	1.736864e-01	1.259408e+00	2.191981e-01	8.298097e-01	2.900429e-01	2.609943e+00
GSM697327	0	9.074282e-02	5.714610e-01	6.089707e-01	2.630562e-01	2.235694e-01	1.229833e+00	2.552604e-02	8.822465e-02	2.412201e+00
GSM697328	0	6.142555e-02	1.611036e+00	3.027423e-01	6.143570e-02	0	0	1.210082e-01	9.347924e-02	1.543174e+00
GSM697329	0	4.342290e-01	0	5.379901e-01	7.910355e-01	8.276517e-02	0	2.437514e-01	2.093488e-01	2.092003e+00
GSM697330	2.768693e-02	5.674706e-02	1.248509e+00	7.132591e-01	1.476084e-01	0	1.071782e-01	1.547614e-01	2.730681e-01	1.971277e+00
GSM697331	0	1.462708e-01	1.787431e+00	1.663842e-01	4.426973e-02	1.519728e-01	7.751120e-01	8.716378e-01	4.577991e-01	1.639951e+00
GSM697332	0	1.078283e+00	7.983350e-01	8.365366e-01	5.964013e-01	1.008553e+00	7.445569e-01	8.183398e-01	2.326743e-01	1.532411e+00
GSM697333	1.711906e-01	2.754027e-02	1.050741e+00	7.079590e-01	6.107426e-02	0	0	1.842295e-01	2.487319e-01	1.996996e+00
GSM697334	0	1.237214e-02	7.750242e-01	2.583016e-01	0	1.171753e+00	5.697766e-01	1.601705e+00	3.568682e-01	1.880614e+00
GSM697335	0	7.785706e-01	2.660166e-01	1.082826e+00	0	4.079936e-01	4.430901e-01	2.193877e-01	2.127407e+00	1.739420e+00
GSM697336	0	4.435959e-02	5.002074e-02	7.717672e-01	0	7.498941e-01	3.516757e-01	9.522700e-01	1.123803e-01	1.654040e+00
GSM697337	1.620680e-01	1.853510e-01	1.302251e+00	1.856353e+00	0	1.487030e+00	4.546493e-02	1.028804e+00	2.984249e-01	2.765346e+00
