14.14_MODULE-310	12.9_STANHILL-HRAS-TRANSFROMATION-UP	7.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	14.2_GNF2-TPT1	13.13_KANG-DOXORUBICIN-RESISTANCE-DN	14.3_REACTOME-GABA-A-RECEPTOR-ACTIVATION	13.10_MIPS-SMN-POLII-RHA-COMPLEX	11.7_chr9p11	11.10_WEBER-METHYLATED-HCP-IN-SPERM-DN	5.2_GNF2-TPT1
CEP76	HSPA6	NKIRAS1	LOC105379426	LINC00520	MFSD6	ZNF831	PTPRT	DNAH14	TDRKH-AS1
LOC101927069	HSPA1B	SAMD12	GLDN	SIGLEC16	SLC25A12	RPL23AP7	ACAD11	NRIP2	TRMT11
TTR	DNAJB1	NIPA2	SCD	LPAR5	AUH	ELAVL1	GALNT15	LIPT2-AS1	LOC105379426
PRLR	HSPA1A	FKBP1B	TRMT10B	BISPR	ATP5MK	LRP4	TUSC7	FBXL20	DARS1
GPX3	SLC7A11-AS1	SLIT2	PEX5L-AS2	EP300-AS1	PCDH7	SNORD8	ITGB8	OGFOD3	RPS15
RNF152	SMAD1-AS2	RALYL	ATXN7L3-AS1	MAPK10	NALF1	CXCR4	KCTD12	FAM200A	UNC5A
CENPL	MUC3A	GABRG2	CNDP1	PCF11-AS1	CS	UPF2	RAB33A	FMO5	PEX5L-AS2
MGP	CHRM5	TAC1	EID2B	LOC286437	KIFBP	ZMPSTE24	AK9	CFAP54	RPS4X
ULK2	ATF3	GRB14	MOBP	TRIM16	KCNJ3	SLC16A1	RABL2B	PIK3R3	TP53INP2
PROS1	HSPB1	DIAPH2-AS1	HBA1	TXNL4B	LNX1	LRP2	LTF	NETO1-DT	DDHD2
CCEPR	SERPINH1	LRRC49	MYO6	MKNK2	SYNPR	KCNK6	ATP6V0D1	PDPR	XIST
MTHFD2	CPN2	SMAP1	STARD9	GIMAP1	MAP2K1	H2AZ1	CAPN7	F11	ZNF189
CENPS	IL1RL1	SYNPR	MOG	DNAJB1	GPRASP1	IL10RA	KCNJ10	PIPOX	ZNF432
SOD3	BAG3	GSKIP	LAMB1	PLXNC1	ATP5PF	KHDC4	TPD52L1	SEMA3F	TRIM73
RNF185	DAOA-AS1	ANO5	MLIP	GOLPH3L	C3orf70	SRPRB	LINC01347	SND1	RPL39
C1orf56	FXYD3	KIF3A	NAV1	ZNF106	SCOC	TMTC3	ELOA-AS1	PKIB	GOLGA7
GALNT11	PARD6G	SCG2	ANAPC4	SLC25A25-AS1	B3GNT2	ELOVL6	ZNF417	STT3A	FGF7P3
RAB5B	KIR2DS5	ATP5MK	FAU	CHORDC1	SYT1	NNMT	TIGD2	CDC42EP5	AIDA
CFAP157	TAS2R7	INPP5F	TTLL7	KCNJ2	SMS	RIN2	PUS7	FAM177A1	TRAPPC3
EPC1	MRAP-AS1	TMEM14A	PAAF1	CHPT1	UNC80	FRA10AC1	CYP2U1	NRTN	WDR11
CHD9NB	MRGPRF	NALF1	RPS12	PRR34-AS1	SLC7A14	DNPEP	PHF5A	ZSCAN10	TSIX
SCAMP1-AS1	TUBBP5	AQP3	RPS4X	PLGLB2	FAXC	OR7A5	MEGF10	UNC50	ZNF195
CLIC6	MIR3150BHG	TRAPPC6B	IFNGR1	MARF1	BEX4	MS4A14	TRIM22	IL1R2	THAP1
LRRC28	KRT76	GABRB1	BACC1	HSPH1	KPNA1	TMEM45A	LINC02603	PCDHB10	LOC100505915
PRDX3	DNAJA4	PEG3-AS1	SKIC3	HSPA5	CNTN1	EFNA1	PURA	TRAV10	MRI1
GGCX	MTMR11	HPRT1	UNC5A	GDPGP1	FAM98B	TAP1	ANKRD33B	GSTA1	DNAJC1
RNF20	DHX58	SNX10	WIPF1	DNAJB4	CRYM	GBP2	ASTN2	SNAPIN	LINC00623
ENPP2	STAU2-AS1	TENM2	PALMD	LOC101929774	TMEM14A	YES1	LAIR2	MAGEA2	PRKD3
LINC00997	C11orf40	HS6ST2	EIF2D	PRICKLE2-AS3	SLITRK1	BTN3A3	TENM2	MZF1-AS1	WASHC1
NT5DC1	ATXN2L	SPIN3	SNX4	XRN1	TCAF1	GIMAP2	LOC105374953	TMEM192	CLCA4
EPM2A-DT	LOC101928760	RBBP7	CNP	SQOR	PTMAP11	PABPC4L	LRCH2	TXNDC8	LOC105372069
LINC01527	DHRS11	TAF13	HAUS3	ZCCHC8	NDFIP1	ACACB	MIOS	CRTAC1	MPLKIP
ZNF664	CAPG	PFKM	TRIM59	ZDHHC20	DNM1L	LINC02274	LRRN1	KPNA5	NUCB2
LRP6	DDIT4	RTCA	THBS3-AS1	ZNF177	NFXL1	KCNA1	MRFAP1L1	LOXL4	AIF1L
CCDC92	NKAPL	DOK5	SOX21-AS1	LINC00680	LGMN	SEC24A	PAK1IP1	LOC403312	COX6C
HTR2C	SMIM2	CAP2	CLCA4	PEX13	RPL7L1	ATG12	DIAPH1-AS1	MED15	TRMT13
PXK	RPS16P5	STYK1	RESF1	POLR1G	CCNH	RELL1	ZNF566	TMEM209	SCRN1
ENKUR	CCSER1	ATP5PF	RPL10	WASHC2A	MMUT	CBY3	C2orf49	TBC1D1	ZNF417
PROX1-AS1	TSG101	BTBD10	RPS15	ELP1	PPP1R2	RNF139	PIGA	ADI1	CCNG1
MTNAP1	GLI1	DNM1L	ITM2A	FGF7P3	C7orf25	FOXO4	PRCP	HEATR5A	PAAF1
PDE4B	LINC01730	TSPYL1	M6PR	SAT1	C1orf216	RAP1B	TMEM47	PRCC	AIMP1
S1PR3	MISP	ARL8B	CARMN	DAD1	RRAGD	TDG	H1-2	CTTN	MTM1
SGK1	AMER1	UAP1	TF	GPR171	GDAP1	SLC31A2	BDH2	LOC439933	NOP14
ACOX3	CCT4	PLPPR4	AIDA	ago-03	WDR17	CD86	ZMPSTE24	ZNF551	TRIM9
ZHX2	MCMDC2	AMZ2	MGC16275	CT45A3	ATP6V1E1	RAB14	BID	SF3B4	PRICKLE4
DDX47	AFG2A	PIP4P2	MAL	CLEC2B	OLFM4	ITGAV	FAT1	YIPF4	THBS3-AS1
WDR49	FARS2-AS1	UBR3	PTPRK	FDX1	MDH2	SYBU	NUTM2B-AS1	LOC101927604	RPL32
ESCO1	PRRC1	NUDT21	DUBR	LOC105377485	RFPL1S	GPNMB	CALCOCO1	ADGRD1	RPS17
PILRB	SLC6A4	BEX4	RSRP1	ZNF14	UBE2V1	KEAP1	RPS6KA1	BTBD16	ANAPC4
ZEB1-AS1	CCZ1B	KIFBP	CLNS1A	CRNKL1	EXTL3-AS1	GMNN	PRPF38A	TUSC2	ASPA
TRAM1L1	CLIC3	SEC22A	PARP8	KLHDC8B	EIF2AK1	ACVR1C	PLCD4	MAN1A1	RNF138
