"geneID","MeanWeight"
"A1BG",1.13993379745917
"A1BG-AS1",2.97651177744031
"A1CF",0.970071384756668
"A2M",6.01574003606691
"A2M-AS1",4.62321236878613
"A2ML1",1.52694985774394
"A2MP1",4.61043435701002
"A4GALT",1.96666939277849
"A4GNT",0.643506539133917
"AA06",2.36262545426214
"AAAS",2.5443506325671
"AACS",2.40171816959767
"AACSP1",1.12558786968554
"AADAC",0.797037170219147
"AADACL2",0.492357714436405
"AADACP1",1.1593773225475
"AADAT",3.82230483085548
"AAGAB",2.51828169015193
"AAK1",7.60621191758329
"AAMDC",4.44603107860963
"AAMP",2.52619808043062
"AANAT",0.591870937443783
"AAR2",1.12267916160912
"AARS1",4.44856351014764
"AARS2",4.72942543081168
"AARSD1",4.08794071201036
"AASDH",3.37250316932927
"AASDHPPT",5.22635034175399
"AASS",6.860788146073
"AATBC",2.99783964753925
"AATF",3.18733186966148
"AATK",3.73969022766216
"ABAT",7.31221414999467
"ABCA1",3.74504829334117
"ABCA11P",2.31904618721363
"ABCA12",0.799372152745802
"ABCA13",1.60339634663803
"ABCA17P",3.65628519724197
"ABCA2",3.41712379615303
"ABCA3",3.34121510122141
"ABCA4",0.900325411224132
"ABCA5",5.17402909328486
"ABCA6",1.80702764509717
"ABCA7",2.61982730636202
"ABCA8",6.7163615276086
"ABCA9",3.80126107787909
"ABCB1",3.14720425995586
"ABCB10",1.81412160751268
"ABCB11",1.07529413515099
"ABCB4",1.89607070797162
"ABCB5",1.79472456816983
"ABCB6",2.47297582383768
"ABCB7",4.51560865216924
"ABCB8",2.5613779688845
"ABCB9",3.99197584179463
"ABCC1",4.71269727181967
"ABCC10",5.04823305635285
"ABCC11",1.09641325116546
"ABCC12",1.50875461363133
"ABCC13",1.54010979337721
"ABCC2",0.888718925923391
"ABCC3",2.93054633366007
"ABCC4",3.72050964822089
"ABCC5",6.11364440204979
"ABCC6",1.31953003760335
"ABCC6P1",0.749265731957245
"ABCC8",1.96563849935039
"ABCC9",3.69781920470588
"ABCD1",1.68592482413205
"ABCD2",1.9696172382073
"ABCD3",7.12062289461295
"ABCD4",2.08407783667413
"ABCE1",6.80414756950361
"ABCF1",4.4067322118348
"ABCF2",2.76066753546081
"ABCF2-H2BK1",5.04123885582974
"ABCF3",2.64588823962726
"ABCG1",6.11748909210851
"ABCG2",3.71695138822265
"ABCG4",1.12798397491286
"ABCG5",0.955144034482308
"ABCG8",0.676254540211494
"ABHD1",1.66134202489958
"ABHD10",6.01773442272403
"ABHD11",3.42470944212345
"ABHD12",4.12159104371887
"ABHD12B",2.28009827533844
"ABHD13",2.77089591578122
"ABHD14A",2.05066331937312
"ABHD14B",1.9058159148772
"ABHD15",0.577901147441279
"ABHD16A",3.27051584800892
"ABHD16B",1.14971680412661
"ABHD17A",0.974417540352163
"ABHD17B",5.48129021706078
"ABHD17C",2.68271226024893
"ABHD18",5.36096736676233
"ABHD2",7.02210831206135
"ABHD3",1.95405940811392
"ABHD4",2.30710037119033
"ABHD5",4.38336687144044
"ABHD6",6.08070261868805
"ABHD8",1.48811813926746
"ABI1",6.53090704205431
"ABI2",8.6260032345054
"ABI3",2.47991083860223
"ABI3BP",2.41037204564426
"ABITRAM",3.83849557023452
