geneID,Control
A1BG,4.352457524045968e-06
A1BG-AS1,1.1374501651026001e-06
A1CF,2.958082993618145e-07
A2M,1.3547131034951858e-05
A2M-AS1,7.5921256379399925e-06
A2ML1,6.613566464401558e-05
A4GALT,3.2293762829124833e-06
A4GNT,9.350413530127527e-08
AACS,3.663648387425787e-05
AADAC,1.9392979520431724e-08
AADAT,3.226381305642723e-05
AAGAB,6.94035892473353e-05
AAK1,0.00023212329088470165
AAMDC,7.292547430959768e-05
AAMP,2.8540019279215375e-05
AANAT,7.743353571753484e-07
AAR2,1.820991024593824e-05
AARS1,3.2328091354686354e-05
AARS2,1.362645268762304e-05
AARSD1,1.8652996312301706e-05
AASDH,0.00012457677622826143
AASDHPPT,4.5220148789096065e-05
AASS,0.00027135023790624766
AATBC,3.889316881677207e-07
AATK,7.080702838878052e-05
ABAT,0.00011086260714285518
ABCA1,0.0003563119252659667
ABCA12,6.6099712904837524e-06
ABCA13,5.194020511374702e-06
ABCA2,0.00010993084889353511
ABCA3,7.832898987740986e-05
ABCA4,3.0683061651059453e-06
ABCA5,2.3418535275483333e-05
ABCA6,5.474672704239012e-06
ABCA7,1.473540107946632e-05
ABCA8,3.105614212573242e-05
ABCA9,4.231034819240992e-06
ABCB1,7.406682891605701e-06
ABCB10,4.719276013757349e-05
ABCB4,6.164331885878404e-07
ABCB5,1.8315948857607018e-06
ABCB6,1.5150654677918613e-05
ABCB7,7.464710976605342e-05
ABCB8,3.964593152884847e-05
ABCB9,3.81792174866091e-05
ABCC10,3.1175695372131986e-05
ABCC11,7.166599427611632e-06
ABCC12,5.412196997914172e-07
ABCC2,5.002855276385409e-06
ABCC3,2.393402451694523e-06
ABCC4,9.230467893657866e-05
ABCC5,9.059898732970606e-05
ABCC8,6.741208551817655e-05
ABCC9,0.00013914994723682623
ABCD1,8.741911425732124e-06
ABCD2,0.0001258943259881376
ABCD3,0.0001335149855913386
ABCD4,7.792514842362904e-05
ABCE1,3.408295344132309e-05
ABCF2,8.818053918039415e-06
ABCF3,1.477240025989272e-05
ABCG1,1.7298358884034327e-05
ABCG2,3.650185804439001e-06
ABCG4,2.4098267789145196e-06
ABCG5,1.380740857362512e-06
ABCG8,8.869729287883705e-07
ABHD1,1.1712262214613394e-05
ABHD10,2.0340362902502494e-05
ABHD11,8.613896567749428e-06
ABHD12,6.936653240959249e-05
ABHD12B,2.065086877253704e-06
ABHD13,2.0052323365971465e-05
ABHD14A,1.163182745541682e-05
ABHD14B,4.956980873210142e-06
ABHD15,5.854330116964535e-06
ABHD17A,4.2855522143073084e-05
ABHD17B,6.451633088440794e-05
ABHD17C,5.613211223663032e-05
ABHD18,0.00011905431842144456
ABHD2,0.0002161598418179613
ABHD3,0.00010762351520172737
ABHD4,9.191761416028488e-06
ABHD5,3.0799673573525374e-05
ABHD6,4.323658895686673e-05
ABHD8,6.15126089216566e-05
ABI1,0.00042925992196479214
ABI2,0.00028486241819709825
ABI3,8.664138512643753e-07
ABI3BP,0.0001298277081145281
ABITRAM,1.5458975575899534e-05
ABL1,0.00017741356462433008
ABL2,0.00013396562957092986
ABLIM1,0.0009219303995765425
ABLIM2,3.509704553769944e-05
ABLIM3,0.00010234950437297018
ABRACL,6.207541640159253e-06
ABRAXAS1,1.3448128617876861e-05
ABRAXAS2,2.2636495859798962e-05
ABTB1,1.989444642245989e-05
ABTB2,5.6349288128491036e-05
