geneID,Control
A1BG,3.06516312257453e-06
A1BG-AS1,2.85294547493015e-05
A1CF,4.06419967006207e-06
A2M,4.82891716817755e-05
A2M-AS1,1.4419142464756e-05
A2ML1,4.69131572676964e-06
A4GALT,3.40418803429867e-05
A4GNT,2.26639099811301e-06
AAAS,1.40532323779969e-05
AACS,8.04184347518787e-06
AADAC,2.6964525121718e-06
AADAT,4.71004687118948e-06
AAGAB,2.30584690052819e-05
AAK1,0.000421647745103172
AAMDC,5.22074036633422e-05
AAMP,2.04117517076511e-05
AANAT,7.8130926597383e-06
AAR2,3.65208129599018e-06
AARS1,4.50924418173335e-05
AARS2,5.90629337080232e-05
AARSD1,2.53983124303868e-05
AASDH,1.3639232068987e-05
AASDHPPT,0.000199922155997531
AASS,5.98155813041194e-05
AATBC,3.05672054675548e-05
AATF,1.49942310320313e-05
AATK,2.5136685528045e-05
ABAT,0.000243990563268635
ABCA1,1.80474296884197e-05
ABCA12,1.90671820292372e-06
ABCA13,4.95762441618345e-06
ABCA2,5.43085263177394e-05
ABCA3,4.92358519509546e-05
ABCA4,7.16857752969317e-06
ABCA5,4.32191353042595e-05
ABCA6,3.46132676039833e-06
ABCA7,3.34741698484602e-05
ABCA8,3.95066645507662e-05
ABCA9,1.66824335917865e-05
ABCB1,2.56788556428882e-05
ABCB10,2.02604264773735e-06
ABCB11,4.62898489216509e-06
ABCB4,5.11375721919503e-06
ABCB5,9.08615516102206e-06
ABCB6,4.29333475657717e-05
ABCB7,1.34289480323152e-05
ABCB8,2.2195567203128e-05
ABCB9,4.24967466513416e-05
ABCC1,6.84639177023866e-05
ABCC10,6.44732590762667e-05
ABCC11,6.54716153824792e-06
ABCC12,5.55504311061485e-06
ABCC2,2.12915641495847e-06
ABCC3,5.34695511803492e-05
ABCC4,3.42019581625109e-05
ABCC5,7.58631605259999e-05
ABCC6,1.24026346594513e-05
ABCC8,2.14265236597136e-05
ABCC9,2.29338765584483e-05
ABCD1,5.97288128756725e-06
ABCD2,4.99254920827172e-06
ABCD3,7.35240477852131e-05
ABCD4,8.49659665452619e-06
ABCE1,7.62714927865064e-05
ABCF1,2.65973758200198e-05
ABCF2,1.45266582511109e-05
ABCF3,1.89032685776753e-05
ABCG1,9.31318521929489e-05
ABCG2,1.48929695975207e-05
ABCG4,1.07146260287653e-05
ABCG5,1.96298782618368e-06
ABCG8,2.15532920949743e-06
ABHD1,4.07345085460799e-06
ABHD10,3.94621238656725e-05
ABHD11,4.34584711947523e-05
ABHD12,4.22111865338589e-05
ABHD12B,4.86052866678332e-06
ABHD13,6.22396259609164e-06
ABHD14A,1.74689112752494e-05
ABHD14B,2.17499241527971e-06
ABHD15,3.21395632250607e-06
ABHD16A,3.45970775510298e-05
ABHD17A,5.24990333984499e-06
ABHD17B,6.2881319358727e-05
ABHD17C,1.02584086398392e-05
ABHD18,6.37901628277098e-05
ABHD2,0.000338797961438065
ABHD3,7.52439922445493e-06
ABHD4,7.28107656894915e-06
ABHD5,3.73691618836402e-05
ABHD6,8.29286399391679e-05
ABHD8,6.99867315510826e-06
ABI1,0.000193884390232088
ABI2,0.000696908478007381
ABI3,2.09940960252682e-05
ABI3BP,7.42166397205568e-06
ABITRAM,1.92506441980883e-05
ABL1,2.61547674867569e-05
ABL2,9.93332159791076e-05
ABLIM1,0.000134466479825673
ABLIM2,0.000134820844296775
ABLIM3,4.18695056653373e-05
ABO,0.000430086122913348
ABR,0.000106362882708927
ABRACL,9.03593340055811e-06
ABRAXAS1,4.42566344120217e-05
ABRAXAS2,1.68450429523619e-05
ABT1,5.34735771869529e-06
ABTB1,5.50335790980945e-05
ABTB2,2.95562591175746e-05
ABTB3,7.35565085078643e-06
ACAA1,8.88447107567731e-05
ACAA2,6.46304287709939e-05
ACACA,5.35365341362909e-05
ACACB,0.000989520050477145
ACAD10,4.78544723214556e-05
ACAD11,3.19020553251132e-05
ACAD8,4.48164596352223e-06
ACAD9,9.68588549686612e-06
ACADL,4.76369665743309e-06
ACADM,4.78807029139687e-06
ACADS,3.13688774529873e-05
ACADSB,5.17185612588213e-06
ACADVL,1.77837019463175e-05
ACAN,6.03219764347713e-05
ACAP1,6.33342793638178e-05
ACAP2,0.000122852784835773
ACAP3,2.2407391602276e-05
ACAT1,3.49297208231128e-05
ACAT2,1.36030995875801e-05
ACBD3,5.00804931103176e-05
ACBD4,9.8754685830495e-06
ACBD5,2.98016020000157e-05
ACBD6,2.79257576810947e-05
ACCS,2.04357409779941e-05
ACD,3.46296571757815e-06
ACE,8.86184718879266e-06
ACE2,3.4822838886673e-06
ACER1,5.59901630091558e-06
ACER2,4.80096280144362e-06
ACER3,0.00015811740279582
ACHE,3.70926715695531e-05
ACIN1,1.80705304809363e-05
ACKR1,1.17286717913447e-05
ACKR2,2.29436015653482e-05
ACKR3,1.51986751937757e-05
ACKR4,1.13362832979754e-05
ACLY,0.000236359280009151
ACMSD,1.90537512633473e-06
ACO1,1.05966840264697e-05
ACO2,1.78848949214567e-05
ACOT11,7.43647238033867e-05
ACOT12,2.08175777947064e-06
ACOT13,1.50805122463209e-05
ACOT2,2.61210095488889e-06
ACOT4,3.05369332191101e-06
ACOT6,2.03106271888114e-06
ACOT7,0.000126811575210594
ACOT8,1.69486530362379e-05
ACOT9,7.36955986823704e-06
ACOX1,7.44715375723893e-05
ACOX2,3.37278218637169e-06
ACOX3,2.32611833406677e-05
ACOXL,8.53531430892916e-06
ACP1,0.000159167464238987
ACP2,7.9426194219963e-06
ACP3,1.33809498089092e-05
ACP4,3.29170272520464e-05
ACP5,7.15758601494319e-06
ACP6,1.75802649404194e-05
ACR,4.95488754641451e-06
