geneID,Incipiente
A1BG,3.03111209826646e-06
A1BG-AS1,3.20766605874927e-05
A1CF,3.7947653880596e-06
A2M,7.34941717241459e-05
A2M-AS1,1.76877676093066e-05
A2ML1,4.77782808076838e-06
A4GALT,3.43292557497732e-05
A4GNT,2.17051208647388e-06
AAAS,1.46739092287233e-05
AACS,8.16478988742129e-06
AADAC,2.24374429384297e-06
AADAT,5.36491837283567e-06
AAGAB,2.22676119406159e-05
AAK1,0.000383749804682328
AAMDC,6.08224109473676e-05
AAMP,2.049043030212e-05
AANAT,6.70902077972679e-06
AAR2,3.97604905468379e-06
AARS1,4.56319454309172e-05
AARS2,7.95911779277094e-05
AARSD1,2.73082120810964e-05
AASDH,1.45862574876736e-05
AASDHPPT,0.000141536795767803
AASS,0.000102922753515897
AATBC,2.65371499178597e-05
AATF,1.5872442546188e-05
AATK,3.12256408126939e-05
ABAT,0.000216338366070977
ABCA1,2.04558682142851e-05
ABCA12,2.05209305832038e-06
ABCA13,4.16266178490116e-06
ABCA2,5.96975874819602e-05
ABCA3,5.05532037787627e-05
ABCA4,6.69558128695894e-06
ABCA5,3.41977272791085e-05
ABCA6,3.32435431367898e-06
ABCA7,3.0257710657666e-05
ABCA8,7.11492492503998e-05
ABCA9,2.03074593152595e-05
ABCB1,2.16162943394824e-05
ABCB10,2.16423360870493e-06
ABCB11,3.89550602782658e-06
ABCB4,5.37347445466687e-06
ABCB5,9.35362444121e-06
ABCB6,4.21871443046003e-05
ABCB7,1.29674118737514e-05
ABCB8,2.24355206062173e-05
ABCB9,4.54139147480973e-05
ABCC1,5.96248175913566e-05
ABCC10,6.72269185417855e-05
ABCC11,7.18296539281515e-06
ABCC12,5.25222843388667e-06
ABCC2,2.15552388338879e-06
ABCC3,4.43978962438501e-05
ABCC4,2.85635905543126e-05
ABCC5,8.43965872094778e-05
ABCC6,9.69388976086648e-06
ABCC8,1.97790429622604e-05
ABCC9,2.41602308027991e-05
ABCD1,6.36968006700617e-06
ABCD2,4.14270259486866e-06
ABCD3,9.3144498198781e-05
ABCD4,7.60817805827289e-06
ABCE1,8.39142729221022e-05
ABCF1,2.38716124431174e-05
ABCF2,1.82640861679797e-05
ABCF3,2.20573993164165e-05
ABCG1,0.00010420676185055
ABCG2,1.73130461493857e-05
ABCG4,9.44601629103644e-06
ABCG5,2.06857129156543e-06
ABCG8,2.08994195567173e-06
ABHD1,4.19399562511784e-06
ABHD10,4.09623989193773e-05
ABHD11,4.52632288751131e-05
ABHD12,4.30072280150544e-05
ABHD12B,5.99111818359651e-06
ABHD13,6.67161821237478e-06
ABHD14A,1.49723244576191e-05
ABHD14B,2.63241994713649e-06
ABHD15,3.06005177172226e-06
ABHD16A,3.5119930000238e-05
ABHD17A,5.04830734431987e-06
