geneID,Moderado
A1BG,3.49908904155252e-06
A1BG-AS1,2.97390291023172e-05
A1CF,4.37289415612614e-06
A2M,7.34161287168187e-05
A2M-AS1,2.09668760899749e-05
A2ML1,5.02430575560848e-06
A4GALT,3.25099068137263e-05
A4GNT,1.99561929173293e-06
AAAS,1.638434337561e-05
AACS,9.30726349287756e-06
AADAC,2.93055772538536e-06
AADAT,5.07386225053359e-06
AAGAB,2.16387047259674e-05
AAK1,0.000371690303542951
AAMDC,5.96073420242636e-05
AAMP,2.03577808124158e-05
AANAT,6.6425269080027e-06
AAR2,4.20149311163835e-06
AARS1,5.15060379264775e-05
AARS2,5.92931952281639e-05
AARSD1,2.97192214106132e-05
AASDH,1.44297060596881e-05
AASDHPPT,0.00015310742323221
AASS,9.83057047630205e-05
AATBC,2.67636024544367e-05
AATF,1.93028676867877e-05
AATK,3.09300684541611e-05
ABAT,0.000247296092485565
ABCA1,2.17146626722012e-05
ABCA12,2.30451592514779e-06
ABCA13,4.42195162898214e-06
ABCA2,5.73616846864774e-05
ABCA3,4.87643363518807e-05
ABCA4,7.33726625822285e-06
ABCA5,3.25722577849022e-05
ABCA6,3.81717220330512e-06
ABCA7,2.77025621012654e-05
ABCA8,6.35936222428663e-05
ABCA9,1.99544631334082e-05
ABCB1,2.28947157796888e-05
ABCB10,2.25685907458579e-06
ABCB11,5.32790817940154e-06
ABCB4,5.39898348694144e-06
ABCB5,1.06901554803536e-05
ABCB6,4.23325553059767e-05
ABCB7,1.50416571175042e-05
ABCB8,2.50658363923048e-05
ABCB9,4.71498614461657e-05
ABCC1,5.6917847061671e-05
ABCC10,9.98593939874193e-05
ABCC11,6.51309644893107e-06
ABCC12,4.62219298389164e-06
ABCC2,2.47768010356933e-06
ABCC3,4.88911509044989e-05
ABCC4,3.40589021802443e-05
ABCC5,7.36008855465272e-05
ABCC6,1.14333728777903e-05
ABCC8,1.77405063412409e-05
ABCC9,2.75550280073748e-05
ABCD1,6.1330718713531e-06
ABCD2,3.70233365196502e-06
ABCD3,9.16095560222827e-05
ABCD4,8.44245666070402e-06
ABCE1,7.59255369400163e-05
ABCF1,3.27618029111455e-05
ABCF2,1.73462610366707e-05
ABCF3,2.13625914169083e-05
ABCG1,0.000114801509796107
ABCG2,1.86862108811905e-05
ABCG4,9.51853729425099e-06
ABCG5,2.09963809066249e-06
ABCG8,2.77710467423128e-06
ABHD1,4.72754853375396e-06
ABHD10,3.95850976549342e-05
ABHD11,4.79828038694026e-05
ABHD12,4.56173360010931e-05
ABHD12B,4.71148285429756e-06
ABHD13,6.25135403636386e-06
ABHD14A,1.56910642679228e-05
ABHD14B,3.6811208090678e-06
ABHD15,3.15026837851326e-06
ABHD16A,3.65508852657114e-05
ABHD17A,5.1674480392482e-06
ABHD17B,7.11598419105198e-05
ABHD17C,9.65234308466283e-06
ABHD18,6.54367218358324e-05
ABHD2,0.000304535673771332
ABHD3,7.58774328516578e-06
ABHD4,9.18870620846597e-06
ABHD5,4.0787220637774e-05
ABHD6,7.92773424172493e-05
ABHD8,7.87902163673475e-06
ABI1,0.000196975190046067
ABI2,0.000617529652838233
ABI3,2.14295337444226e-05
ABI3BP,8.23925177654421e-06
ABITRAM,1.69676112134138e-05
ABL1,2.59197291227632e-05
ABL2,9.33206053453987e-05
ABLIM1,0.000147684117217966
ABLIM2,0.000128277701739355
ABLIM3,4.8772542990447e-05
ABO,0.000430072855670646
ABR,0.000104879605330197
ABRACL,9.5601988079298e-06
ABRAXAS1,5.60484859655197e-05
ABRAXAS2,1.6457973369868e-05
ABT1,5.82713661370892e-06
ABTB1,6.1103652658535e-05
ABTB2,3.08587218907259e-05
ABTB3,6.75246756440224e-06
ACAA1,0.000102640432034596
ACAA2,6.54184385098743e-05
ACACA,5.87051766163447e-05
ACACB,0.00129552812722488
ACAD10,4.8160709498701e-05
ACAD11,5.09336464057021e-05
ACAD8,4.53524562928333e-06
ACAD9,1.10346034028612e-05
ACADL,4.60708518379869e-06
ACADM,6.72150742002012e-06
ACADS,3.42232031034649e-05
ACADSB,5.3164209694636e-06
ACADVL,1.77706141181481e-05
ACAN,6.44094024592728e-05
ACAP1,6.87915162651256e-05
ACAP2,0.000123620109177283
ACAP3,1.91605356810076e-05
ACAT1,3.37197419777779e-05
ACAT2,1.37744079380856e-05
ACBD3,5.61536513819184e-05
ACBD4,1.10015045778962e-05
ACBD5,3.95962522546557e-05
ACBD6,2.09449940768658e-05
ACCS,2.72966546756055e-05
ACD,3.17683328612014e-06
ACE,1.19391283834469e-05
ACE2,3.07328886996001e-06
ACER1,6.3945245773398e-06
ACER2,4.43553023633812e-06
ACER3,0.000175199156497798
ACHE,3.80739439785434e-05
ACIN1,2.21949489447839e-05
ACKR1,1.46882541866055e-05
ACKR2,2.26479107699346e-05
ACKR3,1.85099364276659e-05
ACKR4,7.43316290367852e-06
ACLY,0.000254024873252114
ACMSD,1.81589905352528e-06
ACO1,1.04690833812375e-05
ACO2,1.6224235744497e-05
ACOT11,7.94633562647437e-05
ACOT12,2.26600955488489e-06
ACOT13,1.36485697855011e-05
ACOT2,2.4143064585836e-06
ACOT4,3.33017725995447e-06
ACOT6,2.09847986427343e-06
ACOT7,9.29926370012762e-05
ACOT8,1.51792220676115e-05
ACOT9,7.74065559545768e-06
ACOX1,8.21414111812046e-05
ACOX2,3.32258482842723e-06
ACOX3,2.0817905401394e-05
ACOXL,9.26442013133759e-06
ACP1,0.000124456064310132
ACP2,6.45078925581874e-06
ACP3,1.33546633283902e-05
ACP4,4.1198999665856e-05
ACP5,8.0419719964142e-06
ACP6,1.69691312473644e-05
ACR,3.77667732205768e-06
ACRBP,3.20540910133884e-05
ACRV1,2.17977648765853e-05
ACSBG1,3.13488471085196e-05
ACSBG2,2.89951252896534e-06
ACSF2,2.01471161669315e-05
ACSF3,2.7342001600418e-05
ACSL1,2.01778094596007e-05
ACSL3,0.000143912332302589
ACSL4,0.000127019619882195
ACSL5,1.99352520949158e-05
ACSL6,6.4081367567697e-05
ACSM1,5.90782787887006e-06
ACSM3,5.75654048218238e-06
ACSM5,9.47872671461373e-06
ACSS1,9.99154245943133e-05
ACSS2,1.38918436473577e-05
ACSS3,5.88297636746608e-06
ACTA1,5.010964560799e-06
ACTA2,8.59903435291243e-05
ACTB,0.0202514682391077
ACTC1,3.81220512407123e-06
ACTG1,0.00141853166742336
ACTG2,7.65541495500469e-06
ACTL6A,1.71763760865783e-06
ACTL6B,4.6912584875802e-05
ACTMAP,8.87506791314911e-06
ACTN1,8.16773351569507e-05
ACTN2,6.89544904631781e-05
ACTN3,3.62411077657835e-06
ACTN4,2.84975430616709e-05
ACTR10,4.33983176511006e-05
ACTR1A,4.9399495241551e-05
ACTR1B,1.83829186574395e-05
ACTR2,0.000790027780980928
ACTR3,0.000367945422278355
ACTR3B,6.51542638842238e-05
ACTR3C,3.24440185088574e-05
ACTR5,1.59699768501041e-05
ACTR6,1.61307479662205e-05
ACTR8,1.62791678132024e-05
ACTRT3,2.16911852291729e-06
ACVR1,4.63672868731643e-06
ACVR1B,0.000205044077251191
ACVR1C,4.89924884739535e-05
ACVR2A,0.000143125691455792
ACVR2B,8.33232151661815e-05
ACVR2B-AS1,2.54918992687994e-05
ACVRL1,3.0467420322728e-05
ACY1,2.53545531161425e-05
ACY3,6.82673606783128e-06
ACYP1,1.68878430423883e-05
ACYP2,0.000109127247579809
ADA,1.04979145672369e-05
ADA2,4.48162253092108e-06
ADAD2,2.50184331619004e-05
ADAM10,0.000216819742028653
ADAM11,4.74848915883235e-05
ADAM12,2.9672098833398e-05
ADAM15,2.19484994590512e-05
ADAM17,0.000203199825234863
ADAM18,3.9994285331915e-06
ADAM19,2.21137892967589e-05
ADAM2,2.18107118801928e-06
ADAM21,2.86758009442402e-05
ADAM22,0.000195568129980814
ADAM23,7.56449360910173e-05
ADAM28,3.91656707138254e-05
ADAM29,2.05325655153172e-06
ADAM30,7.47319731993617e-06
ADAM32,2.42599239657519e-06
ADAM33,9.69838422832275e-05
ADAM5,3.65992313909885e-06
ADAM7,7.03509136816055e-06
ADAM8,5.60585139821272e-05
ADAM9,9.2843428425417e-05
ADAMTS1,0.000110661116126538
ADAMTS10,0.000101499684180769
ADAMTS12,1.27977796040522e-05
ADAMTS13,3.34981715318419e-05
ADAMTS14,1.58184539896402e-05
ADAMTS15,1.38873162055735e-05
ADAMTS16,3.47926928168915e-05
ADAMTS16-DT,1.01319280555398e-05
ADAMTS17,3.58693355030386e-05
ADAMTS18,8.18467047913712e-06
ADAMTS19,1.20100927831281e-05
ADAMTS2,2.88495881289561e-05
ADAMTS20,4.36748500574236e-06
ADAMTS3,3.42889499800381e-06
ADAMTS4,3.13365635594543e-06
ADAMTS5,1.03123319598996e-05
ADAMTS6,7.15061181476583e-06
ADAMTS7,5.03701657017151e-05
ADAMTS8,2.41979844605886e-05
ADAMTS9,3.19244770292238e-05
ADAMTS9-AS1,1.02648688792919e-05
ADAMTS9-AS2,1.31752200797992e-05
ADAMTSL1,2.11598114581964e-05
ADAMTSL2,8.61957260561059e-06
ADAMTSL3,1.75622047259449e-05
ADAMTSL4,9.11457943430791e-06
ADAMTSL4-AS2,5.355602896475e-06
ADAMTSL5,2.48798520662468e-05
ADAP1,5.62258410535859e-05
ADAP2,3.39688862711925e-05
ADAR,0.000815394452238699
ADARB1,9.7582567504777e-05
ADARB2,2.7458593046446e-05
ADARB2-AS1,1.68622530063265e-05
ADAT1,1.68787339550723e-05
ADAT2,7.9125061090055e-06
ADCK1,1.62706357443572e-05
ADCK2,4.61401792235825e-05
ADCK5,6.77461639252925e-06
ADCY1,0.00018619713820932
ADCY10,7.62154258855608e-06
ADCY2,0.000142950224884529
ADCY3,0.000117128491278326
ADCY4,2.04601963583996e-05
ADCY5,4.04234074541762e-05
ADCY6,4.30777678057031e-06
ADCY6-DT,2.14548226750527e-06
ADCY7,2.19845214082324e-05
ADCY8,4.2058795099077e-06
ADCY9,0.000208344878404866
ADCYAP1R1,4.89126227682712e-05
ADD1,0.000164688749966682
ADD2,0.000449721380407362
ADD3,0.000400717106503862
ADD3-AS1,9.8484988422517e-05
ADGB,1.77292899673259e-06
ADGRA1,5.48587968479714e-06
ADGRA2,4.2184855951535e-05
ADGRA3,2.94206711913612e-05
ADGRB1,3.39268934906024e-05
ADGRB2,2.28280099786319e-05
ADGRB3,1.4226720758931e-05
ADGRD1,3.85562113091357e-06
ADGRD2,4.93423862311549e-05
ADGRE1,4.68222772663327e-06
ADGRE2,8.37039989324143e-06
ADGRE3,2.92644326031443e-06
ADGRE5,3.47216564964341e-06
