geneID,Severo
A1BG,3.08609273002596e-06
A1BG-AS1,2.56746057702878e-05
A1CF,4.82643511829197e-06
A2M,6.22946033843828e-05
A2M-AS1,1.40680137084596e-05
A2ML1,6.06814979792141e-06
A4GALT,3.79337925451184e-05
A4GNT,2.28071424292631e-06
AAAS,1.73299695711941e-05
AACS,6.81273142119594e-06
AADAC,2.47427562372954e-06
AADAT,5.75753029000114e-06
AAGAB,2.49236013895425e-05
AAK1,0.000373869664105434
AAMDC,5.40137803758377e-05
AAMP,1.93670533812816e-05
AANAT,8.39246988774662e-06
AAR2,4.16481844114642e-06
AARS1,5.33229764071338e-05
AARS2,5.59754525816403e-05
AARSD1,2.68385231305367e-05
AASDH,1.28978567473158e-05
AASDHPPT,0.000172677333985881
AASS,9.67178137077045e-05
AATBC,3.18264736815331e-05
AATF,1.74022792104312e-05
AATK,3.15151209757476e-05
ABAT,0.000223982364162444
ABCA1,2.00978671668633e-05
ABCA12,2.35742836415075e-06
ABCA13,4.27578138596788e-06
ABCA2,5.97674431582402e-05
ABCA3,4.34304211702456e-05
ABCA4,7.71413437539445e-06
ABCA5,3.01050247434752e-05
ABCA6,4.48528107441998e-06
ABCA7,2.6919284251646e-05
ABCA8,5.74614361870988e-05
ABCA9,1.80505917742034e-05
ABCB1,2.46182394632162e-05
ABCB10,1.67015893525645e-06
ABCB11,4.05445320149342e-06
ABCB4,5.78835510043711e-06
ABCB5,8.98757959749566e-06
ABCB6,4.30344870227516e-05
ABCB7,1.16626860867215e-05
ABCB8,2.40346895374456e-05
ABCB9,4.76504337201234e-05
ABCC1,6.8695410149842e-05
ABCC10,5.4607828291209e-05
ABCC11,6.76731337861323e-06
ABCC12,5.40165320336357e-06
ABCC2,2.19002286351122e-06
ABCC3,5.20320857170131e-05
ABCC4,2.92675163538845e-05
ABCC5,8.05494598670161e-05
ABCC6,1.2486165435734e-05
ABCC8,1.86192826496052e-05
ABCC9,2.60428919822549e-05
ABCD1,7.26240813762336e-06
ABCD2,4.61869785987945e-06
ABCD3,8.16381456075175e-05
ABCD4,1.04048434945893e-05
ABCE1,6.20579127194583e-05
ABCF1,2.2309015281759e-05
ABCF2,1.85692115699685e-05
ABCF3,2.35424003865578e-05
ABCG1,0.000115577522029895
ABCG2,1.32034333192573e-05
ABCG4,8.76681026778738e-06
ABCG5,2.00450525368879e-06
ABCG8,3.57738421516093e-06
ABHD1,5.51175355914904e-06
ABHD10,4.10935996035283e-05
ABHD11,4.81162621808734e-05
ABHD12,4.04779477814664e-05
ABHD12B,4.27253066420513e-06
ABHD13,7.54267802067383e-06
ABHD14A,1.78763719111628e-05
ABHD14B,4.30515710922932e-06
ABHD15,3.59920302044389e-06
ABHD16A,4.20781669344303e-05
ABHD17A,5.42696561446768e-06
ABHD17B,6.72463555993443e-05
ABHD17C,9.23396968656569e-06
ABHD18,6.93540256060629e-05
ABHD2,0.00030593239037338
ABHD3,9.45761349564501e-06
ABHD4,1.03244096390825e-05
ABHD5,3.85855446853773e-05
ABHD6,7.8940197087629e-05
ABHD8,8.51899951456653e-06
ABI1,0.000219609683467819
ABI2,0.000654590949329799
ABI3,2.57359671644244e-05
ABI3BP,7.27354786300735e-06
ABITRAM,1.77681537108869e-05
ABL1,3.15319577851116e-05
ABL2,0.000112219370910237
ABLIM1,0.000160227539414083
ABLIM2,0.000143126951933495
ABLIM3,4.44287745856184e-05
ABO,0.000440236824862792
ABR,0.000113758597518648
ABRACL,5.77682513151618e-06
ABRAXAS1,4.73366603263968e-05
ABRAXAS2,1.44545986410739e-05
ABT1,5.37069433168447e-06
ABTB1,6.50412765637567e-05
ABTB2,3.1237669296282e-05
ABTB3,8.21531431124737e-06
ACAA1,0.00010278409250128
ACAA2,7.05946902689889e-05
ACACA,5.80809126671028e-05
ACACB,0.00106635200278501
ACAD10,5.23419444778866e-05
ACAD11,5.44147865712572e-05
ACAD8,5.37032393010708e-06
ACAD9,1.02299038621372e-05
ACADL,6.80110422805381e-06
ACADM,4.45138029627779e-06
ACADS,3.22640514626105e-05
ACADSB,4.24881389196516e-06
ACADVL,2.01954299168105e-05
ACAN,6.93326658389768e-05
ACAP1,7.52802408842378e-05
ACAP2,0.000128438729024064
ACAP3,2.21695376406136e-05
ACAT1,2.73371324891825e-05
ACAT2,1.09786487539427e-05
ACBD3,4.5221833717537e-05
ACBD4,1.11682411390441e-05
ACBD5,2.72826610927746e-05
ACBD6,2.45654511163124e-05
ACCS,2.62359128257614e-05
ACD,2.69132723280666e-06
ACE,1.19998115565706e-05
