geneID,Severo
A1BG,2.27296170232404e-05
A1BG-AS1,6.1226614157166e-05
A1CF,1.8243745089099e-05
A2M,0.0001154173446769
A2M-AS1,9.01845943755698e-05
A2ML1,3.0259282520697e-05
A4GALT,3.90823411595661e-05
A4GNT,1.38011462905441e-05
AAAS,4.93924420321229e-05
AACS,5.53575250717769e-05
AADAC,1.84451864093004e-05
AADAT,8.09341121913231e-05
AAGAB,5.63509861552613e-05
AAK1,0.0001644013238965
AAMDC,8.72533276272696e-05
AAMP,5.23226137563389e-05
AANAT,1.10474827638407e-05
AAR2,2.28562738469862e-05
AARS1,9.18624149791933e-05
AARS2,0.0001000183189096
AARSD1,8.52451671734121e-05
AASDH,6.87362551097352e-05
AASDHPPT,0.0001175713718455
AASS,0.0001367492452184
AATBC,6.14502214670618e-05
AATF,6.18562221423841e-05
AATK,7.37293375817805e-05
ABAT,0.0001583238201538
ABCA1,7.43540246271936e-05
ABCA12,1.58746380657988e-05
ABCA13,3.26488712491636e-05
ABCA2,6.94136115246256e-05
ABCA3,7.16029186082721e-05
ABCA4,1.92167729885818e-05
ABCA5,0.0001128556757272
ABCA6,3.42335692942221e-05
ABCA7,5.39566173414583e-05
ABCA8,0.0001339423040154
ABCA9,7.71930773556095e-05
ABCB1,6.37384613022968e-05
ABCB10,3.95257171447068e-05
ABCB11,2.36150071409838e-05
ABCB4,4.17762395468562e-05
ABCB5,3.86209968563752e-05
ABCB6,5.24922165040928e-05
ABCB7,9.82121577377805e-05
ABCB8,5.0952266904079e-05
ABCB9,8.17724540904465e-05
ABCC1,9.87124195611667e-05
ABCC10,0.0001025768235617
ABCC11,2.17287580148904e-05
ABCC12,3.39707246253695e-05
ABCC2,1.83449093310637e-05
ABCC3,6.07911688476977e-05
ABCC4,7.54484945402487e-05
ABCC5,0.0001256680926604
ABCC6,2.5649400713839e-05
ABCC8,4.31126797212145e-05
ABCC9,7.36399054842121e-05
ABCD1,3.18149456448976e-05
ABCD2,4.54490939595278e-05
ABCD3,0.0001476533867425
ABCD4,4.28719134107634e-05
ABCE1,0.0001546965923133
ABCF1,9.0235460128246e-05
ABCF2,5.38029723332171e-05
ABCF3,5.13031115897226e-05
ABCG1,0.0001256771823398
ABCG2,7.584063524486e-05
ABCG4,2.70650745812411e-05
ABCG5,1.86457892271132e-05
ABCG8,1.20599100447976e-05
ABHD1,3.68837960178782e-05
ABHD10,0.0001279173649611
ABHD11,6.846840932861e-05
ABHD12,8.3081629173888e-05
ABHD12B,4.76695182291459e-05
ABHD13,5.81852369493493e-05
ABHD14A,4.36976899539459e-05
ABHD14B,3.26305721866881e-05
ABHD15,1.0342519509614e-05
ABHD16A,6.47850475747712e-05
ABHD17A,1.96552337049062e-05
ABHD17B,0.0001112105298712
ABHD17C,6.11305436008422e-05
ABHD18,0.0001134351690658
ABHD2,0.0001491371827719
ABHD3,4.16882805650019e-05
ABHD4,4.17540195184781e-05
ABHD5,9.10724098803076e-05
ABHD6,0.0001307359493449
ABHD8,2.84080879878139e-05
ABI1,0.0001391447405883
ABI2,0.0001849830708548
ABI3,4.89930146826213e-05
ABI3BP,4.90539717175617e-05
ABITRAM,8.59593802212382e-05
ABL1,6.67021768618472e-05
ABL2,0.0001150058196566
ABLIM1,0.0001373097052606
ABLIM2,9.095891983378e-05
ABLIM3,0.0001182913469402
ABO,8.84995056958547e-05
ABR,0.0001053223565242
ABRACL,8.1816139429717e-05
ABRAXAS1,0.0001198176782784
ABRAXAS2,8.53669933874679e-05
ABT1,2.81938068192634e-05
ABTB1,7.10718963947916e-05
ABTB2,6.38903571211163e-05
ABTB3,6.26769896577745e-05
ACAA1,9.80162789077187e-05
ACAA2,8.67470605774308e-05
ACACA,9.51980303146479e-05
ACACB,0.0001714009308649
ACAD10,6.10539961215792e-05
ACAD11,0.0001183057693488
ACAD8,6.31298128870616e-05
ACAD9,6.32356765282762e-05
ACADL,3.19636609472682e-05
ACADM,6.10923996996021e-05
ACADS,5.47673293686258e-05
ACADSB,6.91211773788722e-05
ACADVL,5.84948700093095e-05
ACAN,6.79825411593047e-05
ACAP1,6.86099359230181e-05
ACAP2,0.0001398368463046
ACAP3,4.40901930340795e-05
ACAT1,0.0001131004700777
ACAT2,7.40323577353154e-05
ACBD3,0.0001198160302133
ACBD4,5.67432702292827e-05
ACBD5,0.000137681174552
ACBD6,6.64257414522119e-05
