geneID,Severo
A1BG,2.24270307730774e-05
A1BG-AS1,5.92786903123944e-05
A1CF,2.26737597729274e-05
A2M,0.0001228578180186
A2M-AS1,8.9012129209761e-05
A2ML1,3.46881910420447e-05
A4GALT,4.27973064847569e-05
A4GNT,1.47263503923749e-05
AAAS,5.45415311283178e-05
AACS,4.80920666885229e-05
AADAC,1.64057270364104e-05
AADAT,7.73195615233992e-05
AAGAB,5.56455322990358e-05
AAK1,0.0001546498354162
AAMDC,9.14550518280823e-05
AAMP,5.16142139631245e-05
AANAT,1.51122763561084e-05
AAR2,2.46904559846512e-05
AARS1,9.20040919751138e-05
AARS2,9.68233287814598e-05
AARSD1,8.57067171619339e-05
AASDH,6.55114114831649e-05
AASDHPPT,0.000111953304205
AASS,0.0001426104649795
AATBC,6.58508984695592e-05
AATF,6.5017960867926e-05
AATK,7.77424292237279e-05
ABAT,0.0001502462563619
ABCA1,7.73836137479928e-05
ABCA12,1.900777341151e-05
ABCA13,3.4445760807058e-05
ABCA2,7.33057771440296e-05
ABCA3,7.04136601105424e-05
ABCA4,2.05876242884983e-05
ABCA5,0.0001054108361509
ABCA6,3.77386855929268e-05
ABCA7,5.4272131193472e-05
ABCA8,0.0001359523938248
ABCA9,7.64071635766535e-05
ABCB1,6.44888755756982e-05
ABCB10,3.70430363989145e-05
ABCB11,2.19733556857701e-05
ABCB4,4.1007418169314e-05
ABCB5,3.73736980182837e-05
ABCB6,5.0541969430028e-05
ABCB7,9.09289355024057e-05
ABCB8,5.45691744561419e-05
ABCB9,8.43190224881068e-05
ABCC1,9.93200187992567e-05
ABCC10,9.76182597316937e-05
ABCC11,2.37212635394555e-05
ABCC12,3.09659603187286e-05
ABCC2,1.80274389180746e-05
ABCC3,6.26870957202332e-05
ABCC4,7.73757839736422e-05
ABCC5,0.0001252097830575
ABCC6,2.95892696619569e-05
ABCC8,4.11102596478457e-05
ABCC9,7.75905697014789e-05
ABCD1,3.73212102460867e-05
ABCD2,4.33547676709799e-05
ABCD3,0.0001452142981288
ABCD4,4.34343853072373e-05
ABCE1,0.0001398234805217
ABCF1,8.45360417523035e-05
ABCF2,5.8092803009456e-05
ABCF3,5.83569907110356e-05
ABCG1,0.0001269643271393
ABCG2,7.08400934925017e-05
ABCG4,2.32405199564816e-05
ABCG5,1.89455371960087e-05
ABCG8,1.88793673185234e-05
ABHD1,3.68727041907748e-05
ABHD10,0.0001265769010405
ABHD11,7.33628660488889e-05
ABHD12,8.39667254051967e-05
ABHD12B,4.75918894565187e-05
ABHD13,5.91600765586555e-05
ABHD14A,4.4618195464266e-05
ABHD14B,4.03140087263111e-05
ABHD15,1.44106469836947e-05
ABHD16A,6.92655508152672e-05
ABHD17A,2.25637673686836e-05
ABHD17B,0.0001136427145046
ABHD17C,5.62644693310206e-05
ABHD18,0.0001140133769482
ABHD2,0.0001445299098222
ABHD3,4.66673793859951e-05
ABHD4,4.93405388902742e-05
ABHD5,8.93389557483647e-05
ABHD6,0.0001247462425543
ABHD8,3.28851941650814e-05
ABI1,0.0001377345737201
ABI2,0.0001774026555812
ABI3,5.56996198316576e-05
ABI3BP,4.93185349405177e-05
ABITRAM,7.97141645308004e-05
ABL1,7.17887408182239e-05
ABL2,0.0001149412384683
ABLIM1,0.0001414142809658
ABLIM2,9.25994330151136e-05
ABLIM3,0.0001140535492198
ABO,9.14052475986206e-05
ABR,0.0001071696819297
ABRACL,6.38610593224053e-05
ABRAXAS1,0.0001155116568499
ABRAXAS2,7.81615174964824e-05
ABT1,2.93573701839711e-05
ABTB1,7.29789780893785e-05
ABTB2,6.64363355511558e-05
ABTB3,5.53258175029019e-05
ACAA1,9.96729025043095e-05
ACAA2,9.17223456221661e-05
ACACA,9.87375563205684e-05
ACACB,0.0001804592223767
ACAD10,6.54307456012651e-05
ACAD11,0.0001266698754259
ACAD8,5.92013182571784e-05
ACAD9,6.63750916982016e-05
ACADL,3.70423075330376e-05
ACADM,5.26947175837567e-05
ACADS,5.68364291881789e-05
ACADSB,6.02197692888703e-05
ACADVL,6.45587564950092e-05
ACAN,7.17209228643078e-05
ACAP1,7.40897515373186e-05
ACAP2,0.0001354142181415
ACAP3,4.35227281937277e-05
ACAT1,0.0001040792582865
ACAT2,6.7301160049313e-05
ACBD3,0.0001166485118656
ACBD4,5.97411608365494e-05
ACBD5,0.0001297101909735
ACBD6,6.35851047132693e-05
ACCS,7.04129812087493e-05
ACD,2.99194382374425e-05
ACE,4.18256528632697e-05
ACE2,2.41491169434478e-05
ACER1,4.00482922086001e-05
ACER2,3.64427100831113e-05
ACER3,0.0001454697045299
ACHE,5.95953671016126e-05
ACIN1,5.95151245375728e-05
ACKR1,4.75129644868298e-05
ACKR2,5.15375587386773e-05
ACKR3,7.28348744025294e-05
ACKR4,4.52323247747182e-05
ACLY,0.0001391459795543
ACMSD,1.38251790998322e-05
ACO1,5.40365984383273e-05
ACO2,4.33733292139306e-05
ACOT11,7.9894886572939e-05
ACOT12,1.78539993339627e-05
ACOT13,7.58129393577155e-05
ACOT2,2.91328545222463e-05
ACOT4,2.97716002983493e-05
ACOT6,1.60279111584166e-05
ACOT7,9.89046282531274e-05
ACOT8,6.14640451286592e-05
ACOT9,3.17473778425527e-05
ACOX1,0.0001228547682258
ACOX2,9.37562090954139e-06
ACOX3,8.2058881320004e-05
ACOXL,3.60290329573409e-05
ACP1,0.0001140891404266
ACP2,2.18241960006004e-05
ACP3,2.5238161852762e-05
ACP4,6.60516822740269e-05
ACP5,3.59874489816112e-05
ACP6,6.84963043891848e-05
ACR,2.49353128297166e-05
ACRBP,6.32956618147459e-05
ACRV1,4.83349992372526e-05
ACSBG1,7.76308164970176e-05
ACSBG2,2.43491763880904e-05
ACSF2,6.10207739958531e-05
ACSF3,7.59434994052743e-05
ACSL1,8.86022534617879e-05
ACSL3,0.000132120157041
ACSL4,0.0001053382372651
ACSL5,6.0424385196275e-05
ACSL6,0.0001185441708151
ACSM1,2.69844198601267e-05
ACSM3,2.05995667532186e-05
ACSM5,4.96207721977534e-05
ACSS1,9.16928110530553e-05
ACSS2,5.55495117811222e-05
ACSS3,4.13497910795484e-05
ACTA1,1.59753331940551e-05
ACTA2,0.0001248649467189
ACTB,0.0002249800980887
ACTC1,1.688041366192e-05
ACTG1,0.0001845573657514
ACTG2,3.01585876936618e-05
ACTL6A,2.70714210201889e-05
ACTL6B,9.86972668389387e-05
ACTMAP,3.03654991184473e-05
ACTN1,0.0001078146174567
ACTN2,0.0001035917141466
ACTN3,1.2324046619862e-05
ACTN4,6.31336968967431e-05
ACTR10,0.0001277304184289
ACTR1A,0.00010073871085
ACTR1B,6.06036429174896e-05
ACTR2,0.00016640811527
ACTR3,0.0001459706020601
ACTR3B,0.0001020570011439
ACTR3C,0.000111224214062
ACTR5,5.04096982047931e-05
ACTR6,6.68650292112404e-05
ACTR8,6.93615341849875e-05
ACTRT3,1.88961096718279e-05
ACVR1,3.73382161174486e-05
ACVR1B,0.0001373482990996
ACVR1C,9.36771707213217e-05
ACVR2A,0.0001415269189775
ACVR2B,0.0001086000282559
ACVR2B-AS1,8.71740647140121e-05
ACVRL1,8.25240105998427e-05
ACY1,4.73079966515012e-05
ACY3,3.81687708256281e-05
ACYP1,9.30072729696542e-05
ACYP2,0.0001264433398224
ADA,4.80205229370374e-05
ADA2,5.1507709012492e-05
ADAD2,4.67734977841102e-05
ADAM10,0.0001523817501156
ADAM11,7.92366317394433e-05
ADAM12,7.05912449736042e-05
ADAM15,3.91541792611222e-05
ADAM17,0.0001304553362733
ADAM18,2.36982434681893e-05
ADAM19,6.52667019037122e-05
ADAM2,1.58310540144389e-05
ADAM21,7.24214229632814e-05
ADAM22,0.0001482115769874
ADAM23,0.0001310614652127
ADAM28,0.0001012138550428
ADAM29,9.9667241939734e-06
ADAM30,3.70685294427716e-05
ADAM32,2.45843153889964e-05
ADAM33,0.0001066760259737
ADAM5,1.05380614699547e-05
ADAM7,3.51133094500667e-05
ADAM8,7.14917662023671e-05
ADAM9,0.0001176982076832
ADAMTS1,0.000112051606775
ADAMTS10,9.15475319978308e-05
ADAMTS12,4.60004412274714e-05
ADAMTS13,4.84009141103797e-05
ADAMTS14,3.29651714302828e-05
ADAMTS15,3.11689694377067e-05
ADAMTS16,6.13745922525904e-05
ADAMTS16-DT,3.08500849763593e-05
ADAMTS17,5.94961994198425e-05
ADAMTS18,4.77266981672089e-05
ADAMTS19,5.37776273791768e-05
ADAMTS2,5.46256117586789e-05
ADAMTS20,3.87604356397284e-05
ADAMTS3,3.16022664862323e-05
ADAMTS4,1.95583445291677e-05
ADAMTS5,5.02431293128046e-05
ADAMTS6,4.0829564603037e-05
ADAMTS7,5.50355432058611e-05
ADAMTS8,8.93786258442667e-05
ADAMTS9,5.46713750525735e-05
ADAMTS9-AS1,4.50179301194558e-05
ADAMTS9-AS2,5.79553669002026e-05
ADAMTSL1,5.56951844284508e-05
ADAMTSL2,2.24149852913653e-05
ADAMTSL3,3.71457299383548e-05
ADAMTSL4,6.31116435300277e-05
ADAMTSL4-AS2,1.42940622431369e-05
ADAMTSL5,4.39762756165977e-05
ADAP1,7.01167047525056e-05
ADAP2,6.88749076104513e-05
ADAR,0.0001508093021542
ADARB1,9.6155892467957e-05
ADARB2,9.93447080794865e-05
ADARB2-AS1,4.48842222390644e-05
ADAT1,7.45247854402934e-05
ADAT2,5.08715925199527e-05
ADCK1,6.73986655677438e-05
ADCK2,7.6968410076217e-05
ADCK5,3.14398607898371e-05
ADCY1,0.0001504049092629
ADCY10,3.27840903726503e-05
ADCY2,0.000117072326683
ADCY3,7.77404434876961e-05
